Asset_BulkValidation_ID,Upload_JobID,RowNumber,ComponentID_AssetRegisterID,AssetDescription,ParentAssetRegisterID,Barcode,OldBarcode,ImageRef,FinancialStatus,AssetType,AssetCategory,AssetSub_Category,AssetClass,ComponentType,Sub_ComponentType,MeasurementType,AssetStatus,AcquisitionDate,DisposalDate,ReasonforDisposal,ImpairmentDate,InServiceDate,UsefulLifeYearComponent,UsefulLifeMonthComponent,RemainingUsefulLifeYearComponent,RemainingUsefulLifeMonthComponent,AssetCondition,DateModified,VerifiedDate,VerificationDoneBy,UOM,Dim1,Dim2,Dim3,DimensionQuantity,Quantity,SGKey,DeedNumber,Erf_FarmNumber,ErfsizeM2,PortionNumber,UnitNumber,RegistrationNumber,CustodianName,CustodianIDNumber,AssetOwnershipName,MunicipalDepartment,Division,Town,StreetAddress,Building,Ward,Zoning,FloorArea,RoomNumber,Suburb,GISFeautureID,Lattitude,Longitude,FundingSourceNumber,FundingSourceAmount,PurchaseAmount_Cost,SCOAItem_PurchaseAmount_Cost,ResidualValue,AccumulatedDepreciation,SCOAItem_AccumulatedDepreciation,AccumulatedImpairment,SCOAItem_AccumulatedImpairment,DisposalAmountCost,SCOAItem_DisposalAmountCost,DisposalProceeds,ProfitorLossonDisposal,CarryingAmount,DonorID_RegistrationNumber_ParastatalCode,DonorName_CompanyName_ParastatalName,DateDonated,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Custom10,Custom11,Custom12,Custom13,Custom14,Custom15,Custom16,Custom17,Custom18,Custom19,Custom20,Custom21,Custom22,Custom23,Custom24,Custom25,Custom26,FileName,AssetSetting_ID,Description,CIDMSSubComponent,MainAssetID,MainAssetDescription,CIDMSSubComponentType,CIDMSComponentType,CIDMSAccountingGroup,CIDMSSubAccountingGroup,CIDMSAssetClass,CIDMSAssetGroupType,CIDMSAssetType,CashOrNoncashgeneratingunit,CommisioningDate,InfrastructurOrNonInfrastructure,NatureOfAddition,CostOfAddition,YearConstructed,ForecastReplacementYear,InsuranceCover,InsurancePolicyNo,Warranty,CurrentReplacemantCostCRC,DepreciatedReplacementCostDRC,AnnualisedMaintenanceCRC,AnnualMaintenanceBudgetNeed,RemainingUsefulLifeAtTakeOn,ConstructionMaterial,Make,Model,SerialNumber,BasicMunicipalityService,CriticalityGrade,PerformanceGrade,UtilisationGrade,InfrastructureHealthGrade,ConsequenceOfFailure,Risk,WellKnownTextWKT,MunicipalAssetID,RevaluationDate
1012999,485,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Machinery And Electrical Equipment,"Invalid Class combination, Asset Class: Grader | Asset Category : Machinery and Equipment | Asset Su",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013000,485,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013001,485,9,NULL,NULL,NULL,Barcode already exists: MNQ09287,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013002,485,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013003,485,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013004,485,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013005,485,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013006,485,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013007,485,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1013008,485,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Invalid Class combination, Asset Class: Firearms | Asset Category : Other Assets | Asset SubCategory",NULL,NULL,NULL,"Asset Status is not allowed for Asset Type/Category, Asset Status 1 | Asset Category 28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Invalid data in column: Butterworth Staff House no 38,NULL,NULL,NULL,Invalid data in column: R172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Error_Job_485.csv,NULL,NULL,NULL,NULL,NULL,Invalid CIDMS Structure combination detected,Invalid data in column: Paintball Gun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
