InvTransferID,Quantity,InventoryID,HighValueID,Description,AssetStatus_ID,AssetCategory_ID,AssetClass_ID,AssetCondition_ID,PurchaseAmount,InvoiceDate,DateCaptured,UsefulLifeMonthComponent
1,1,73,2,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,25480.81,2026-03-26,2026-03-26 04:03:55.750,480
2,1,73,3,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,25480.81,2026-03-26,2026-03-26 04:03:55.750,480
3,1,73,4,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,25480.81,2026-03-26,2026-03-26 04:03:55.750,480
4,1,690,5,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,24900.00,2026-03-26,2026-03-26 04:03:55.750,480
5,1,708,6,Lister clutch pulley TS2&TS3(210-02985),NULL,15,4519,1,18120.48,2026-03-26,2026-03-26 04:03:55.750,480
6,1,708,7,Lister clutch pulley TS2&TS3(210-02985),NULL,15,4519,1,18120.48,2026-03-26,2026-03-26 04:03:55.750,480
7,1,708,8,Lister clutch pulley TS2&TS3(210-02985),NULL,15,4519,1,18120.48,2026-03-26,2026-03-26 04:03:55.750,480
8,1,708,9,Lister clutch pulley TS2&TS3(210-02985),NULL,15,4519,1,18120.48,2026-03-26,2026-03-26 04:03:55.750,480
9,1,929,10,Lister Diesel Engine TR2,NULL,15,4519,1,180685.08,2026-03-26,2026-03-26 04:03:55.750,480
10,1,935,11,Lister Diesel Engine TR2,NULL,15,4519,1,163027.85,2026-03-26,2026-03-26 04:03:55.750,480
11,1,690,12,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,24900.00,2026-03-26,2026-03-26 04:03:55.750,480
12,1,832,13,DIESEL TANK COMPLETE,NULL,15,4519,1,9865.00,2026-03-26,2026-03-26 04:03:55.750,480
13,1,690,14,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,24900.00,2026-03-26,2026-03-26 04:03:55.750,480
14,1,690,15,Lister clutch pulley LT1&TS1(210-02975),NULL,15,4519,1,24900.00,2026-03-26,2026-03-26 04:03:55.750,480
15,1,862,16,Lister flexible exhaust pipes 32mm,NULL,15,4519,1,780.00,2026-03-26,2026-03-26 04:03:55.750,480
16,1,112,17,Lister flexible exhaust pipes 32mm,NULL,15,4519,1,1108.00,2026-03-26,2026-03-26 04:03:55.750,480
17,1,112,18,Lister flexible exhaust pipes 32mm,NULL,15,4519,1,1108.00,2026-03-26,2026-03-26 04:03:55.750,480
18,1,936,19,Lister flexible exhaust 40mm,NULL,15,4519,1,16240.00,2026-03-26,2026-03-26 04:03:55.750,480
19,1,426,20,Lister flexible exhaust 40mm,NULL,15,4519,1,3508.17,2026-03-26,2026-03-26 04:03:55.750,480
20,1,929,21,Lister Diesel Engine TR2,NULL,15,4519,1,180685.08,2026-03-26,2026-03-26 04:03:55.750,480
21,1,538,22,Lister Diesel Engine TR1,NULL,15,4519,1,157181.00,2026-03-26,2026-03-26 04:03:55.750,480
22,1,539,23,Lister Diesel Engine TR3,NULL,15,4519,1,233669.00,2026-03-26,2026-03-26 04:03:55.750,480
23,1,539,24,Lister Diesel Engine TR3,NULL,15,4519,1,214600.75,2026-03-26,2026-03-26 04:03:55.750,480
24,1,538,25,Lister Diesel Engine TR1,NULL,15,4519,1,127159.20,2026-03-26,2026-03-26 04:03:55.750,480
