AssetClass_ID,AssetClassDesc,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Asset_SubCategory_ID,UsefulLifeInMonths,AssetDepreciationMethod_ID,RevaluationByCostModel,RevaluationByRevalutionModel,TypeID,Default,AssetCategoryID,AssetStatus_ID,AssetMeasurement_ID
1,Sewer Pump Stations - Motor,1,2019-07-03 20:27:21.750,1,NULL,NULL,0,180,1,NULL,NULL,4,NULL,16,0,NULL
2,Sewer Pump Stations - Motor,1,2019-07-03 20:27:21.757,1,NULL,NULL,0,180,1,NULL,NULL,4,NULL,16,0,NULL
3,Sewer Pump Stations - Motor,1,2019-07-03 20:27:21.760,1,NULL,NULL,0,180,1,NULL,NULL,4,NULL,16,0,4
4,HV switching station equipment - HV busbar indoor,1,2019-07-10 10:29:43.520,1,NULL,NULL,87,720,1,NULL,NULL,4,NULL,14,1,1
5,HV switching station equipment - HV busbar outdoor,1,2019-07-10 10:29:43.537,1,NULL,NULL,87,600,1,NULL,NULL,4,NULL,14,1,1
6,HV switching station equipment - Voltage transformer,1,2019-07-10 10:29:43.553,1,NULL,NULL,87,540,1,NULL,NULL,4,NULL,14,1,1
7,HV switching station equipment - Current transformer,1,2019-07-10 10:29:43.570,1,NULL,NULL,87,540,1,NULL,NULL,4,NULL,14,1,1
8,HV switching station equipment - Surge arrestor,1,2019-07-10 10:29:43.587,1,NULL,NULL,87,60,1,NULL,NULL,4,NULL,14,1,1
9,HV switching station equipment - Lightning mast and shield wiring,1,2019-07-10 10:29:43.603,1,NULL,NULL,87,600,1,NULL,NULL,4,NULL,14,1,1
10,HV switching station equipment - Station earthing ? mat and electrodes,1,2019-07-10 10:29:43.620,1,NULL,NULL,87,540,1,NULL,NULL,4,NULL,14,1,1
11,HV switching station equipment - Reactor,1,2019-07-10 10:29:43.637,1,NULL,NULL,87,600,1,NULL,NULL,4,NULL,14,1,1
