1,Other assets,2,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
2,Intangible assets,3,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
3,Heritage assets,4,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
4,Investment property,1,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
5,Community assets,2,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
6,Infrastructure assets,2,1,2020-01-28 15:25:05.407,1,NULL,NULL,1
7,Community Assets,5,1,2022-06-07 12:43:59.787,251,NULL,NULL,NULL
8,Outsourced,5,1,2022-10-06 11:44:32.183,252,NULL,NULL,NULL
9,Other Assets,5,1,2024-04-18 12:22:09.863,562,NULL,NULL,0
10,Infrastructure assets,5,1,2024-04-18 12:22:24.567,562,NULL,NULL,0
11,Furniture and Office Equipment,2,1,2024-04-19 15:59:05.307,562,NULL,NULL,0
12,Computer Equipment,2,1,2024-04-19 15:59:20.703,562,NULL,NULL,0
13,Machinery and Equipment,2,1,2024-04-19 15:59:33.967,562,NULL,NULL,0
14,Transport Assets,2,1,2024-04-19 15:59:49.973,562,NULL,NULL,0
