AssetCIDMSComponentTypeID,AssetCIDMSComponentTypeDesc,AssetCIDMSAssetTypeID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
1,Air conditioning,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
2,Anchored wall,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
3,as applicable (from above),2,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
4,Automated electricity meter,122,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
5,Auto-recloser,234,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
6,Auto-recloser,243,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
7,Baler,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
8,Ballasts,306,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
9,Basketball court,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
10,Batteries,69,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
11,Battery charger,69,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
12,Billboard,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
13,Boiler,3,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
14,Boiler feed pump,3,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
15,Bowling green,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
16,Capacitor bank,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
17,Capacitor bank,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
18,Capacitor bank,234,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
19,Capacitor bank,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
20,Carport,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
21,Carport,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
22,Cast iron,194,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
23,Cathodic protection,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
24,Channel,77,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
25,Chemical toilet,48,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
26,Chiller,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
27,Communal standpipe,49,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
28,Communication cable,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
29,Communications switch,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
30,Commuter shelter,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
31,Compactor,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
