AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
1,Trolley,366,0,1,1,2021-05-07 17:07:14.113,199,2024-04-16 06:28:21.107,562,0
2,Tray,365,0,1,1,2021-05-07 17:07:28.337,199,2024-04-15 17:58:44.180,562,0
3,Light Box,367,0,1,1,2021-05-07 17:08:15.537,199,2024-04-15 17:58:28.557,562,0
4,Air Conditioner,272,0,1,1,2021-05-07 17:09:00.950,199,2024-04-15 18:00:02.707,562,0
5,Alcotest,273,0,1,1,2021-05-07 17:09:23.183,199,2024-04-15 17:58:37.753,562,0
6,Bar Fridge,274,0,1,1,2021-05-07 17:09:43.457,199,2024-04-15 17:58:59.003,562,0
7,Bench,275,0,1,1,2021-05-07 17:10:01.687,199,2022-09-14 11:24:16.927,199,NULL
8,Bid Box,276,0,1,1,2021-05-07 17:10:34.063,199,2024-04-15 17:59:08.423,562,0
9,Binders,277,0,1,1,2021-05-07 17:10:52.083,199,2024-04-15 18:01:06.497,562,0
10,Book display,278,0,1,1,2021-05-07 17:11:11.650,199,2024-04-15 17:59:15.327,562,0
11,Bookcase,279,0,1,1,2021-05-07 17:11:33.430,199,2022-09-14 11:29:41.223,199,NULL
12,Cabinet,280,0,1,1,2021-05-07 17:12:01.193,199,2022-09-14 18:03:00.987,199,NULL
13,Camera,281,0,1,1,2021-05-07 17:12:28.477,199,2024-04-15 18:01:15.377,562,0
14,CAMERA SONY CYBERSHOT,282,0,1,1,2021-05-07 17:12:50.167,199,2024-04-15 18:01:24.980,562,0
15,CANON DIGITAL CAMERA,283,0,1,1,2021-05-07 17:13:16.773,199,2024-04-16 06:12:01.577,562,0
16,CANON DIGITAL CAMERA EOS 700D,284,0,1,1,2021-05-07 17:13:34.373,199,2024-04-16 06:12:07.743,562,0
17,Cash Drawer,285,0,1,1,2021-05-07 17:13:55.280,199,2024-04-16 06:12:13.437,562,0
18,Chair,286,1,1,1,2021-05-07 17:14:38.533,199,NULL,NULL,NULL
19,Coat & Hat Stand,287,0,1,1,2021-05-07 17:14:57.883,199,2024-04-16 06:13:17.233,562,0
20,"Computer   ",288,0,1,1,2021-05-07 17:15:33.247,199,2024-04-16 06:13:23.110,562,0
21,Computer Box,289,0,1,1,2021-05-07 17:15:53.050,199,2024-04-16 06:28:49.110,562,0
22,Computer Stand,290,0,1,1,2021-05-07 17:16:12.927,199,2024-04-16 06:28:54.650,562,0
23,Couch,291,0,1,1,2021-05-07 17:16:36.797,199,2024-04-16 06:29:00.537,562,0
24,Counter,292,0,1,1,2021-05-07 17:16:58.587,199,2024-04-16 06:29:05.567,562,0
25,CPU,293,0,1,1,2021-05-07 17:17:20.087,199,2024-04-16 06:29:10.540,562,0
26,Credenza,294,0,1,1,2021-05-07 17:19:53.667,199,2022-09-14 11:24:50.327,199,NULL
27,Cupboard,295,0,1,1,2021-05-07 17:20:14.780,199,2022-09-14 11:42:09.153,199,NULL
28,Data Projector,296,0,1,1,2021-05-07 17:20:38.453,199,2024-04-16 06:29:15.823,562,0
29,Data Sheet,297,0,1,1,2021-05-07 17:21:00.960,199,2024-04-16 06:29:20.877,562,0
30,Desk,298,1,1,1,2021-05-07 17:21:22.477,199,NULL,NULL,NULL
31,Desktop,299,0,1,1,2021-05-07 17:21:46.663,199,2024-04-16 06:29:26.107,562,0
32,Drawer,300,0,1,1,2021-05-07 17:23:00.897,199,2024-04-16 06:29:31.287,562,0
33,Drawers,301,0,1,1,2021-05-07 17:23:26.120,199,2024-04-16 06:29:36.730,562,0
34,DVD Drive,302,0,1,1,2021-05-07 17:23:51.010,199,2024-04-16 06:29:41.447,562,0
35,Fax,303,0,1,1,2021-05-07 17:26:20.817,199,2024-04-16 06:29:46.877,562,0
36,Filer,304,0,1,1,2021-05-07 17:26:40.530,199,2024-04-16 06:29:51.757,562,0
37,Folding Machine,305,0,1,1,2021-05-07 17:27:04.113,199,2024-04-16 06:13:36.110,562,0
38,Franking Machine,306,0,1,1,2021-05-07 17:27:26.890,199,2024-10-07 16:01:49.937,199,0
39,Fridge,307,0,1,1,2021-05-07 17:27:48.523,199,2024-04-16 06:13:30.650,562,0
40,Hard Drive,308,1,1,1,2021-05-07 17:28:08.737,199,NULL,NULL,NULL
41,Heater,309,1,1,1,2021-05-07 17:29:13.370,199,NULL,NULL,NULL
42,Ipad,310,1,1,1,2021-05-07 17:29:34.810,199,NULL,NULL,NULL
43,Laminator,311,1,1,1,2021-05-07 17:29:54.193,199,NULL,NULL,NULL
44,Laptop,312,1,1,1,2021-05-07 17:30:13.353,199,NULL,NULL,NULL
45,LICENCE DISK SCANNER AND NUMBER PLATE RECOGNITION,313,1,1,1,2021-05-07 17:32:31.027,199,NULL,NULL,NULL
46,Locker,314,0,1,1,2021-05-07 17:32:52.140,199,2022-09-14 11:19:21.977,199,NULL
47,Media Player,315,1,1,1,2021-05-07 17:33:17.393,199,NULL,NULL,NULL
48,Megaphone,316,1,1,1,2021-05-07 17:33:40.603,199,NULL,NULL,NULL
49,Mic Stand,317,1,1,1,2021-05-07 17:33:59.647,199,NULL,NULL,NULL
50,Microphones,318,1,1,1,2021-05-07 17:34:19.477,199,NULL,NULL,NULL
51,Microwave,319,1,1,1,2021-05-07 17:34:44.530,199,NULL,NULL,NULL
52,Mixing Console,320,1,1,1,2021-05-07 17:35:06.700,199,NULL,NULL,NULL
53,Monitor,321,1,1,1,2021-05-07 17:35:29.413,199,NULL,NULL,NULL
54,Notice Board,322,1,1,1,2021-05-07 17:35:56.283,199,NULL,NULL,NULL
55,OLYMPUS DIGITAL VOICE RECORDER,323,1,1,1,2021-05-07 17:36:32.530,199,NULL,NULL,NULL
56,Pedenza,324,1,1,1,2021-05-07 17:36:59.150,199,NULL,NULL,NULL
57,Pedestal,325,1,1,1,2021-05-07 17:37:27.683,199,NULL,NULL,NULL
58,Phone,326,1,1,1,2021-05-07 17:37:49.777,199,NULL,NULL,NULL
59,Pigeon Hole,327,1,1,1,2021-05-07 17:38:11.980,199,NULL,NULL,NULL
60,Pin Board,328,1,1,1,2021-05-07 17:38:33.540,199,NULL,NULL,NULL
61,Podium,329,1,1,1,2021-05-07 17:38:55.747,199,NULL,NULL,NULL
62,Portable Drive,330,1,1,1,2021-05-07 17:39:13.713,199,NULL,NULL,NULL
63,Post Box,331,1,1,1,2021-05-07 17:39:35.827,199,NULL,NULL,NULL
64,Printer,332,1,1,1,2021-05-07 17:39:55.597,199,NULL,NULL,NULL
65,Projector,333,1,1,1,2021-05-07 17:40:23.143,199,NULL,NULL,NULL
66,Rack Server,334,1,1,1,2021-05-07 17:40:44.377,199,NULL,NULL,NULL
67,Recorder,335,1,1,1,2021-05-07 17:41:10.683,199,NULL,NULL,NULL
68,Roof rack,336,1,1,1,2021-05-07 17:41:33.037,199,NULL,NULL,NULL
69,Router,337,1,1,1,2021-05-07 17:43:22.260,199,NULL,NULL,NULL
70,Safe,338,1,1,1,2021-05-07 17:43:45.587,199,NULL,NULL,NULL
71,Screen,339,1,1,1,2021-05-07 17:44:07.067,199,NULL,NULL,NULL
