Asset_Condition_ID,Description,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
7,Fair,2021-06-11 13:27:33.833,199,NULL,NULL,1
8,Good,2021-06-11 13:27:49.287,199,NULL,NULL,1
9,Not Applicable,2021-06-11 13:28:02.417,199,NULL,NULL,1
10,Poor,2021-06-11 13:28:15.617,199,NULL,NULL,1
11,Very Good,2021-06-11 13:28:28.290,199,NULL,NULL,1
12,Very Poor,2021-06-11 13:28:42.943,199,NULL,NULL,1
13,Scrap,2021-06-17 10:15:30.017,199,NULL,NULL,1
14,Not Verified,2021-06-17 10:15:44.387,199,NULL,NULL,1
15,Disposed,2022-05-18 12:38:22.240,199,NULL,NULL,1
16,Write-off,2022-05-27 14:56:50.410,251,NULL,NULL,1
17,Not Assessed,2024-10-07 13:12:28.703,199,NULL,NULL,1
