Asset_SubCategory_ID,Asset_SubCategoryDescription,Enabled,DateCaptured,Capturer_ID,DateModified,Modifier_ID,AssetCategoryID,TypeID,Default
1,Mature,0,2019-06-28 15:41:39.567,1,NULL,NULL,1,1,1
2,Dairy Cattle,1,2019-06-28 15:41:39.570,1,NULL,NULL,1,1,1
3,Feathered Animals (Eggs and Feathers),1,2019-06-28 15:41:39.577,1,NULL,NULL,1,1,1
4,Forests and Plantations,1,2019-06-28 15:41:39.580,1,NULL,NULL,1,1,1
5,Fruit Trees,1,2019-06-28 15:41:39.583,1,NULL,NULL,1,1,1
6,Game Animals,1,2019-06-28 15:41:39.590,1,NULL,NULL,1,1,1
7,"Animals for Reproduction (Cattle, Goats, Sheep and Pigs)",1,2019-06-28 15:41:39.593,1,NULL,NULL,1,1,1
8,Animals for Wool or Milk (Goats and Sheep),1,2019-06-28 15:41:39.597,1,NULL,NULL,1,1,1
9,Dogs (Law Enforcement and Working),1,2019-06-28 15:41:39.600,1,NULL,NULL,1,1,1
10,Horses (Law Enforcement and Working),1,2019-06-28 15:41:39.607,1,NULL,NULL,1,1,1
11,Vines,1,2019-06-28 15:41:39.610,1,NULL,NULL,1,1,1
12,Plants (for Production of Seeds),1,2019-06-28 15:41:39.613,1,NULL,NULL,1,1,1
13,Immature,0,2019-06-28 15:41:39.617,1,NULL,NULL,2,1,1
14,Dairy Cattle,1,2019-06-28 15:41:39.620,1,NULL,NULL,2,1,1
15,Feathered Animals (Eggs and Feathers),1,2019-06-28 15:41:39.627,1,NULL,NULL,2,1,1
16,Forests and Plantations,1,2019-06-28 15:41:39.630,1,NULL,NULL,2,1,1
17,Fruit Trees,1,2019-06-28 15:41:39.633,1,NULL,NULL,2,1,1
18,Game Animals,1,2019-06-28 15:41:39.637,1,NULL,NULL,2,1,1
19,"Animals for Reproduction (Cattle, Goats, Sheep and Pigs)",1,2019-06-28 15:41:39.640,1,NULL,NULL,2,1,1
20,Animals for Wool or Milk (Goats and Sheep),1,2019-06-28 15:41:39.647,1,NULL,NULL,2,1,1
21,Dogs (Law Enforcement and Working),1,2019-06-28 15:41:39.650,1,NULL,NULL,2,1,1
22,Horses (Law Enforcement and Working),1,2019-06-28 15:41:39.657,1,NULL,NULL,2,1,1
23,Vines,1,2019-06-28 15:41:39.660,1,NULL,NULL,2,1,1
