Building_ID,BuildingDesc,StreetID,Longitude,Latitude,DateCaptured,CapturerID,DateModified,ModifierID,Enabled,StreetNumber
1,General Store~1,177,NULL,NULL,2016-04-07 18:03:12.020,2661,NULL,NULL,NULL,NULL
2,Water Store~1,178,NULL,NULL,2016-04-07 18:03:15.410,2701,NULL,NULL,NULL,NULL
3,General Store~1,179,NULL,NULL,2016-04-07 18:04:14.847,2661,NULL,NULL,NULL,NULL
4,Electricity Store~1,180,NULL,NULL,2016-04-07 18:06:36.083,594,NULL,NULL,NULL,NULL
5,General Store~1,181,NULL,NULL,2016-04-07 18:08:22.130,2661,NULL,NULL,NULL,NULL
6,Electricity Store~1,182,NULL,NULL,2016-04-07 18:10:20.910,594,NULL,NULL,NULL,NULL
7,General Store~1,183,NULL,NULL,2016-04-07 18:12:32.867,2661,NULL,NULL,NULL,NULL
8,General Store~1,184,NULL,NULL,2016-04-07 18:16:54.617,2661,NULL,NULL,NULL,NULL
9,General Store~1,185,NULL,NULL,2016-04-07 18:18:56.193,2661,NULL,NULL,NULL,NULL
10,General Store~1,186,NULL,NULL,2016-04-07 18:22:27.553,2661,NULL,NULL,NULL,NULL
11,General Store~1,187,NULL,NULL,2016-04-07 18:30:54.743,2661,NULL,NULL,NULL,NULL
12,General Store~1,188,NULL,NULL,2016-04-07 18:32:23.947,2661,NULL,NULL,NULL,NULL
13,General Store~1,189,NULL,NULL,2016-04-07 18:48:45.963,2661,NULL,NULL,NULL,NULL
14,General Store~1,190,NULL,NULL,2016-04-07 18:50:22.370,2661,NULL,NULL,NULL,NULL
15,Water Store~1,191,NULL,NULL,2016-04-07 18:52:28.743,2701,NULL,NULL,NULL,NULL
16,General Store~1,192,NULL,NULL,2016-04-07 18:19:19.757,2661,NULL,NULL,NULL,NULL
17,Water Store~1,193,NULL,NULL,2016-04-07 18:20:00.860,2661,NULL,NULL,NULL,NULL
18,Electricity Store~1,194,NULL,NULL,2016-04-07 18:20:03.033,594,NULL,NULL,NULL,NULL
19,Sewerage Store~1003,209,NULL,NULL,2016-05-16 15:34:38.117,2661,NULL,NULL,NULL,NULL
20,BUTTERWORTH CUSTOMER CARE,1,NULL,NULL,2021-06-08 11:57:36.150,199,2021-06-08 11:57:36.150,199,NULL,0
21,BUTTERWORTH GLASS HOUSE,1,NULL,NULL,2021-06-08 11:58:15.153,199,2021-06-08 11:58:15.153,199,NULL,0
22,BUTTERWORTH LED BLOCK 1 OFFICES,1,NULL,NULL,2021-06-08 11:58:42.553,199,2021-06-08 11:58:42.553,199,NULL,0
23,BUTTERWORTH LED BLOCK 2 OFFICES,1,NULL,NULL,2021-06-08 11:59:14.120,199,2021-06-08 11:59:14.120,199,NULL,0
24,BUTTERWORTH MAIN BUILDING,1,NULL,NULL,2021-06-08 11:59:57.680,199,2021-06-08 14:16:58.480,199,NULL,0
25,BUTTERWORTH MOTH HALL,1,NULL,NULL,2021-06-08 12:00:53.170,199,2021-06-08 12:00:53.170,199,NULL,0
26,BUTTERWORTH MSOBOMVU HALL,1,NULL,NULL,2021-06-08 12:01:21.350,199,2021-06-08 12:01:21.350,199,NULL,0
27,BUTTERWORTH MSOBOMVU TRAFFIC OFFICES,1,NULL,NULL,2021-06-08 12:01:42.330,199,2021-06-08 12:01:42.330,199,NULL,0
28,BUTTERWORTH NEW BUILDING OFFICES,1,NULL,NULL,2021-06-08 12:03:09.737,199,2021-06-08 12:03:09.737,199,NULL,0
