Division_ID,DivisionDesc,DivisionCode,DepartmentID,DivisionParentID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,SCOAFunctionID,HRPayrollSCOAFundID,StartDate,EndDate,RegionID,ProjectID,ManagerPositionID,ManagerStartDate,ManagerEndDate,ConditionOfServiceID,DirectorateLevel,FinYear
1,Office of the Mayor,1001,1,NULL,1,2017-07-13 16:11:35.000,1,2024-07-10 13:50:50.827,190,281,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
2,Office of the speaker,2001,2,NULL,1,2017-07-13 16:11:35.000,1,2024-07-10 14:29:53.910,190,281,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,3,NULL,2025/2026
3,Legal Services,3001,3,NULL,1,2017-01-27 15:44:56.433,2,NULL,NULL,312,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2025/2026
4,Internal Audit,3002,3,NULL,1,2017-01-27 15:45:32.370,2,NULL,NULL,8,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2025/2026
5,Risk Management,3004,3,NULL,1,2017-01-27 15:46:10.713,2,2022-07-18 11:10:28.863,190,335,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,1,1,2025/2026
6,Office of the MM,3006,3,NULL,1,2017-07-13 16:11:35.000,1,2024-07-11 15:45:46.523,190,320,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
7,IDP & PMS,4001,4,NULL,1,2017-07-13 16:11:35.000,1,2024-07-11 16:00:45.890,190,301,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
8,Office of the Director- Strategic Management,4002,4,NULL,1,2017-07-13 16:11:35.000,1,2026-02-17 15:13:54.143,241,342,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,3044,2023-01-13 00:00:00.000,2026-02-16 00:00:00.000,1,NULL,2025/2026
9,Strategic Management,4003,4,NULL,1,2017-07-13 16:11:35.000,1,2024-07-11 16:02:08.143,190,342,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
10,Municipal Relations,4004,4,NULL,1,2017-01-27 15:59:51.200,2,NULL,NULL,277,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2025/2026
11,Events Management,4005,4,NULL,1,2017-01-27 16:01:33.170,2,NULL,NULL,245,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2025/2026
12,Media Liason,4006,4,NULL,1,2017-01-27 16:02:23.043,2,NULL,NULL,276,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2025/2026
13,Special Programmes Unit,4007,4,NULL,1,2017-01-27 16:04:01.043,2,2025-10-28 08:19:33.403,580,301,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,1,2025/2026
14,Research and Policy Development,4008,4,NULL,1,2017-07-13 16:11:35.000,1,NULL,NULL,353,NULL,2017-07-13 16:11:35.000,9999-12-31 00:00:00.000,232,NULL,NULL,NULL,NULL,1,1,2018/2019
15,Solid Waste & Environmental Management,5001,5,NULL,1,2017-07-13 16:11:35.000,1,2025-07-14 10:20:13.153,269,328,26906,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,1900-01-01 00:00:00.000,9999-12-31 00:00:00.000,1,1,2025/2026
16,Office of the Director-community,5002,5,NULL,1,2017-07-13 16:11:35.000,1,2025-07-14 10:17:33.430,269,328,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
17,Public Ammenities,5003,5,NULL,1,2017-07-13 16:11:35.000,1,2021-02-25 09:46:18.037,192,328,26906,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,1,2025/2026
18,Security Services,5004,5,NULL,1,2017-07-13 16:11:35.000,1,2025-07-14 10:19:20.243,269,345,NULL,2025-07-01 00:00:00.000,9999-12-31 00:00:00.000,230,20306,NULL,NULL,NULL,1,NULL,2025/2026
