ID,ActiveFinYear,CurrentIndex,FinYear
1,2018/2019,-7,2011/2012
2,2018/2019,-6,2012/2013
3,2018/2019,-5,2013/2014
4,2018/2019,-4,2014/2015
5,2018/2019,-3,2015/2016
6,2018/2019,-2,2016/2017
7,2018/2019,-1,2017/2018
8,2018/2019,0,2018/2019
9,2018/2019,1,2019/2020
10,2019/2020,-7,2012/2013
11,2019/2020,-6,2013/2014
12,2019/2020,-5,2014/2015
13,2019/2020,-4,2015/2016
14,2019/2020,-3,2016/2017
15,2019/2020,-2,2017/2018
16,2019/2020,-1,2018/2019
17,2019/2020,0,2019/2020
18,2019/2020,1,2020/2021
19,2020/2021,-7,2013/2014
20,2020/2021,-6,2014/2015
21,2020/2021,-5,2015/2016
22,2020/2021,-4,2016/2017
23,2020/2021,-3,2017/2018
24,2020/2021,-2,2018/2019
25,2020/2021,-1,2019/2020
26,2020/2021,0,2020/2021
27,2020/2021,1,2021/2022
28,2021/2022,-7,2014/2015
29,2021/2022,-6,2015/2016
30,2021/2022,-5,2016/2017
31,2021/2022,-4,2017/2018
32,2021/2022,-3,2018/2019
33,2021/2022,-2,2019/2020
34,2021/2022,-1,2020/2021
35,2021/2022,0,2021/2022
36,2021/2022,1,2022/2023
37,2022/2023,-7,2015/2016
38,2022/2023,-6,2016/2017
39,2022/2023,-5,2017/2018
40,2022/2023,-4,2018/2019
41,2022/2023,-3,2019/2020
42,2022/2023,-2,2020/2021
43,2022/2023,-1,2021/2022
44,2022/2023,0,2022/2023
45,2022/2023,1,2023/2024
46,2023/2024,-7,2016/2017
47,2023/2024,-6,2017/2018
48,2023/2024,-5,2018/2019
49,2023/2024,-4,2019/2020
50,2023/2024,-3,2020/2021
51,2023/2024,-2,2021/2022
52,2023/2024,-1,2022/2023
53,2023/2024,0,2023/2024
54,2023/2024,1,2024/2025
55,2024/2025,-7,2017/2018
56,2024/2025,-6,2018/2019
57,2024/2025,-5,2019/2020
58,2024/2025,-4,2020/2021
59,2024/2025,-3,2021/2022
60,2024/2025,-2,2022/2023
61,2024/2025,-1,2023/2024
62,2024/2025,0,2024/2025
63,2024/2025,1,2025/2026
64,2025/2026,-7,2018/2019
65,2025/2026,-6,2019/2020
66,2025/2026,-5,2020/2021
67,2025/2026,-4,2021/2022
68,2025/2026,-3,2022/2023
69,2025/2026,-2,2023/2024
70,2025/2026,-1,2024/2025
71,2025/2026,0,2025/2026
72,2025/2026,1,2026/2027
