Floor_ID,FloorDesc,BuildingID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
2,Ground Floor,20,2021-06-08 14:28:15.843,199,NULL,NULL,1
3,First Floor,20,2021-06-08 14:28:22.697,199,NULL,NULL,1
4,Second Floor,20,2021-06-08 14:28:29.537,199,NULL,NULL,1
5,Ground Floor,21,2021-06-08 14:28:49.650,199,NULL,NULL,1
6,First Floor,21,2021-06-08 14:28:55.633,199,NULL,NULL,1
7,Second Floor,21,2021-06-08 14:29:01.420,199,NULL,NULL,1
8,Ground Floor,22,2021-06-08 14:29:21.320,199,NULL,NULL,1
9,First Floor,22,2021-06-08 14:29:27.390,199,NULL,NULL,1
10,Second Floor,22,2021-06-08 14:29:32.310,199,NULL,NULL,1
11,Ground Floor,23,2021-06-08 14:30:05.717,199,NULL,NULL,1
12,First Floor,23,2021-06-08 14:30:11.973,199,NULL,NULL,1
13,Second Floor,23,2021-06-08 14:30:17.763,199,NULL,NULL,1
14,Ground Floor,24,2021-06-08 14:30:48.620,199,NULL,NULL,1
15,First Floor,24,2021-06-08 14:30:53.927,199,NULL,NULL,1
16,Second Floor,24,2021-06-08 14:31:00.357,199,NULL,NULL,1
17,Ground Floor,25,2021-06-08 14:31:25.477,199,NULL,NULL,1
18,First Floor,25,2021-06-08 14:31:33.350,199,NULL,NULL,1
19,Second Floor,25,2021-06-08 14:31:39.487,199,NULL,NULL,1
20,Ground Floor,26,2021-06-08 14:31:57.690,199,NULL,NULL,1
21,First Floor,26,2021-06-08 14:32:20.357,199,NULL,NULL,1
22,Second Floor,26,2021-06-08 14:32:25.760,199,NULL,NULL,1
23,Ground Floor,27,2021-06-08 14:32:49.257,199,NULL,NULL,1
24,First Floor,27,2021-06-08 14:32:57.430,199,NULL,NULL,1
25,Second Floor,27,2021-06-08 14:33:02.600,199,NULL,NULL,1
26,Ground Floor,28,2021-06-08 14:33:24.843,199,NULL,NULL,1
27,First Floor,28,2021-06-08 14:33:33.177,199,NULL,NULL,1
28,Second Floor,28,2021-06-08 14:33:39.030,199,NULL,NULL,1
29,Ground Floor,29,2021-06-08 14:33:59.817,199,NULL,NULL,1
30,First Floor,29,2021-06-08 14:34:07.710,199,NULL,NULL,1
31,Second Floor,29,2021-06-08 14:34:16.710,199,NULL,NULL,1
32,Ground Floor,30,2021-06-08 14:34:36.687,199,NULL,NULL,1
33,First Floor,30,2021-06-08 14:34:42.807,199,NULL,NULL,1
34,Second Floor,30,2021-06-08 14:34:49.543,199,NULL,NULL,1
35,Ground Floor,31,2021-06-08 14:35:16.260,199,NULL,NULL,1
36,First Floor,31,2021-06-08 14:35:22.813,199,NULL,NULL,1
37,Second Floor,31,2021-06-08 14:35:28.900,199,NULL,NULL,1
38,Ground Floor,32,2021-06-08 14:35:51.820,199,NULL,NULL,1
39,First Floor,32,2021-06-08 14:35:57.970,199,NULL,NULL,1
40,Second Floor,32,2021-06-08 14:36:04.540,199,NULL,NULL,1
41,Ground Floor,33,2021-06-08 14:36:38.170,199,NULL,NULL,1
42,First Floor,33,2021-06-08 14:36:45.120,199,NULL,NULL,1
43,Second Floor,33,2021-06-08 14:36:50.900,199,NULL,NULL,1
44,Ground Floor,34,2021-06-08 14:37:13.260,199,NULL,NULL,1
45,First Floor,34,2021-06-08 14:37:20.663,199,NULL,NULL,1
46,Second Floor,34,2021-06-08 14:37:27.833,199,NULL,NULL,1
47,Ground Floor,35,2021-06-08 14:37:48.403,199,NULL,NULL,1
48,First Floor,35,2021-06-08 14:37:54.820,199,NULL,NULL,1
49,Second Floor,35,2021-06-08 14:38:02.030,199,NULL,NULL,1
50,Ground Floor,36,2021-06-08 14:38:21.757,199,NULL,NULL,1
51,First Floor,36,2021-06-08 14:38:30.390,199,NULL,NULL,1
52,Second Floor,36,2021-06-08 14:38:36.080,199,NULL,NULL,1
53,Ground Floor,37,2021-06-08 14:39:04.220,199,NULL,NULL,1
54,First Floor,37,2021-06-08 14:39:10.363,199,NULL,NULL,1
55,Second Floor,37,2021-06-08 14:39:16.837,199,NULL,NULL,1
56,Ground Floor,38,2021-06-08 14:39:35.130,199,NULL,NULL,1
57,First Floor,38,2021-06-08 14:39:42.090,199,NULL,NULL,1
58,Second Floor,38,2021-06-08 14:39:47.980,199,NULL,NULL,1
59,Ground Floor,39,2021-06-08 14:40:09.070,199,NULL,NULL,1
60,First Floor,39,2021-06-08 14:40:14.737,199,NULL,NULL,1
61,Second Floor,39,2021-06-08 14:40:21.350,199,NULL,NULL,1
62,Ground Floor,40,2021-06-08 14:41:11.777,199,NULL,NULL,1
63,First Floor,40,2021-06-08 14:41:18.350,199,NULL,NULL,1
64,Second Floor,40,2021-06-08 14:41:24.940,199,NULL,NULL,1
65,Ground Floor,41,2021-06-08 14:41:41.987,199,NULL,NULL,1
66,First Floor,41,2021-06-08 14:41:49.517,199,NULL,NULL,1
67,Second Floor,41,2021-06-08 14:41:57.717,199,NULL,NULL,1
68,Ground Floor,42,2021-06-08 14:42:27.757,199,NULL,NULL,1
