FundingSource_ID,FundingSourceDesc,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,FinYear,PreviousReferenceId
2,Equitable share,1,2018-09-18 11:56:29.493,151,NULL,NULL,2018/2019,NULL
3,Municipal infrastructure grant,1,2018-09-18 12:09:45.800,151,2018-09-18 12:10:27.220,151,2018/2019,NULL
4,Finance management grant,1,2018-09-18 12:10:49.550,151,NULL,NULL,2018/2019,NULL
5,Integrated electrification program,1,2018-09-18 12:11:59.507,151,NULL,NULL,2018/2019,NULL
6,Expanded Public Works Programme,1,2018-11-29 10:59:31.220,88,NULL,NULL,2018/2019,NULL
7,Human Settlement,1,2019-02-21 13:47:22.633,84,NULL,NULL,2018/2019,NULL
8,LGSETA-GRANT,1,2019-02-21 13:47:45.523,84,NULL,NULL,2018/2019,NULL
9,EQUITABLE SHARE-CAPITAL,1,2019-02-21 15:43:16.283,84,2019-02-22 08:53:45.203,84,2018/2019,NULL
10,Finance Management Grant,1,2019-02-22 09:06:15.130,84,NULL,NULL,2018/2019,NULL
11,Equitable Share- Capital project Portion,1,2019-02-22 09:07:07.137,84,NULL,NULL,2018/2019,NULL
12,Tender other revenue,1,2019-02-22 09:26:31.257,84,NULL,NULL,2018/2019,NULL
13,Operational Revenue,1,2019-02-22 09:26:59.937,150,2019-02-22 09:29:05.147,150,2018/2019,NULL
14,Rental from fixed Assets,1,2019-02-25 10:34:17.260,150,NULL,NULL,2018/2019,NULL
15,Licenses and Permits,1,2019-02-25 10:34:54.873,150,NULL,NULL,2018/2019,NULL
58,Equitable share,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,2
59,Municipal infrastructure grant,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,3
60,Finance management grant,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,4
61,Integrated electrification program,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,5
62,Expanded Public Works Programme,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,6
63,Human Settlement,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,7
64,LGSETA-GRANT,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,8
65,EQUITABLE SHARE-CAPITAL,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,9
66,Finance Management Grant,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,10
67,Equitable Share- Capital project Portion,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,11
68,Tender other revenue,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,12
69,Operational Revenue,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,13
70,Rental from fixed Assets,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,14
71,Licenses and Permits,1,2019-04-25 14:23:18.993,58,NULL,NULL,2019/2020,15
72,DSRAC,1,2019-06-12 14:49:14.627,84,2019-06-12 16:29:02.883,84,2019/2020,NULL
298,Equitable share,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,58
299,Municipal infrastructure grant,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,59
300,Finance management grant,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,60
301,Integrated electrification program,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,61
302,Expanded Public Works Programme,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,62
303,Human Settlement,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,63
304,LGSETA-GRANT,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,64
305,EQUITABLE SHARE-CAPITAL,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,65
306,Finance Management Grant,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,66
307,Equitable Share- Capital project Portion,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,67
308,Tender other revenue,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,68
309,Operational Revenue,1,2020-03-20 08:26:58.370,84,NULL,NULL,2020/2021,69
