144153,IE003001006000000000000000000000000000 | Catering Services
144228,IE003001037000000000000000000000000000 | Printing Services
144254,IE003001033000000000000000000000000000 | Transport Services
144930,IE010002003000000000000000000000000000 | Corporate and Municipal Activities
145062,IE010068000000000000000000000000000000 | Hire Charges
150095,IR002004002004004012000000000000000000 | Community Assets
144947,IE010002008000000000000000000000000000 | Staff Recruitment
144948,IE010002009000000000000000000000000000 | Tenders
144949,IE010002003000000000000000000000000000 | Corporate and Municipal Activities
151076,IE010002003000000000000000000000000000 | Corporate and Municipal Activities
