Town_ID,Town,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,FallswithinMunicipality,TownCode,ProvinceID,Code
1,Unknown,1,2017-07-02 14:46:36.000,1,NULL,NULL,1,0,1,1
2,Butterworth,1,2017-07-02 14:46:36.000,1,NULL,NULL,1,4960,1,1
3,0,1,2017-07-02 14:46:36.000,1,NULL,NULL,1,0,1,1
4,Centane,1,2017-07-02 14:46:36.000,1,NULL,NULL,1,4960,1,1
5,NQAMAKWE p,1,2017-07-02 14:46:36.000,1,2022-10-25 11:16:43.097,1,1,4960,1,1
6,East London,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
7,Quigney,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
8,Bisho,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
9,Fichardtpark,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
10,Beacon Bay,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
11,Qamata,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
12,Port Elizabeth,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
13,Mthatha,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
14,East London Nahoon,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
15,Gunubie,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
16,Gonubie,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
17,Umtata,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
18,Kwelera,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
19,Nahoon East London,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
20,Ferndale Randburg,1,2017-07-02 14:46:36.000,1,NULL,NULL,0,0,1,1
21,Sandton,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
22,Cape Town,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
23,Dutywa,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
24,B,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
25,Pretoria,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
26,St Francis Bay,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
27,Chempet,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
28,Halfway House,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
29,Tsomo,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
30,Tsolo,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
31,Montana,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
32,Greenbushes,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
33,Katlehong,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
34,Msobomvu,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
35,Vigisville,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
36,Regent Park,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
37,Ndabakazi Post Office,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
38,Avenue,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
39,Ixopo,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
40,Engcobo,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
41,Greennacres,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
42,Tygerberg,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
43,Rosebank,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
44,Eadt London,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
45,Eastlondon,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
46,Idutywa,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
47,Bishi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
48,Bosho,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
49,Durban Lalucia,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
50,Eaast London,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
51,Est London,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
52,East Lodonn,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
53,Eas Londont,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
54,Butterwortheast London,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
55,Southernwood,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
56,Willowvale,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
57,King Williams Town,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
58,Mutual Park,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
59,Benmore,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
60,Grahamstown,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
61,East London Kwelera,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
62,Elliotdale,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
63,Bishio,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
64,Bisho 5606,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
65,Sea Point,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
66,Wendywood,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
67,Macassar,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
68,Ngqamakwe,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
69,Hermanus,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
70,Komga,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
71,Butterwoth,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
72,P O Box 161,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
73,Siyanda Squarter Camp,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
74,Sokapase A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
75,40 Robinson Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
76,P O Box 36,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
77,2771 Cuba,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
78,P O Box 1023,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
79,Willowvalle,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
80,P.O. Box 65,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
81,P O Box 822,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
82,Centuli A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
83,1313 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
84,1131 Mcubakazi T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
85,Ndabakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
86,P O Box 7,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
87,P O Box 588,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
88,2066 Nu 14,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
89,Mission A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
90,37 Siyanda Squatter Camp,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
91,86 A Chamberlain Road,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
92,1745  Mchubakazi T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
93,Tikitiki A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
94,7748 Zizamele,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
95,P O Box 1393,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
96,Doti Location,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
97,Govan Mbeki Location,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
98,Vuli Valley,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
99,Mnquma,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
100,P/Bag X 3006,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
101,714 Msobomvu T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
102,221 Ibeka,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
103,Bongweni Admin Area,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
104,5878 Ext 15,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
105,859 Ibika,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
106,610 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
107,1886 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
108,1962 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
109,1027 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
110,561 Msobomvu,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
111,P.O.Box,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
112,P.O.Box,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
113,Zizamele,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
114,100031 Cuba,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
115,Wesley Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
116,291 Msobomvu,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
117,Zagwityi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
118,35 Ext 14,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
119,1616 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
120,1470 Msobomvu,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
121,395 Ibika,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
122,2145 Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
123,Mc Clenaghaan Ext,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
124,405 Chris Hani Park,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
125,May Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
126,4790 N U 2 Mdantsane,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
127,Mcubakazi Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
128,Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
129,40 Blank Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
130,Macube A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
131,316 Ibika,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
132,7637 Zizamele Location,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
133,Nofikile Admin Area,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
134,Zangwa A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
135,Hintsa Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
136,P O Box 61,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
137,108 Ibika Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
138,Ndabakazi Location,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
139,Ezolo A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
140,Ndabakazi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
141,Toleni A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
142,Qhina A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
143,150 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
144,P.O. Box 171,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
145,P.O. Box 94,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
146,P.O. Box 465,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
147,Teko Springs A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
148,Flat 15 Room 07,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
149,99 Extension 7,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
150,Mount Frere,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
151,Qina A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
152,P.O. Box 79,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
153,1943 Cuba,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
154,Holela A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
155,Qholora,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
156,Sokapase A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
157,2156 Cuba T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
158,Izagwity A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
159,Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
160,Sinamva Store,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
161,Elucwece A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
162,57 Kntane Road,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
163,Mgomanzi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
164,755 Msobomvu T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
165,Izagwityi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
166,Ibika Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
167,13 Newtown,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
168,P O Box,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
169,44 Old Pound,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
170,1868 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
171,Cofimvaba,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
172,Ncora A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
173,1002 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
174,471 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
175,74 Ibika Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
176,Umthatha,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
177,P.O. Box 44,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
178,1724 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
179,Ngomanzi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
180,Tyinira A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
181,1823 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
182,1513 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
183,Ngqamakwe A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
184,Sihlabeni A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
185,Libode,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
186,P.O.Box,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
187,55 Blyth Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
188,1998  Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
189,57 Blyth Street,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
190,Nofikile A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
191,4990,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
192,Mnquma Area,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
193,12 Msobomvu T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
194,Mnquma Area,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
195,2012 Cuba T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
196,Mnquma Area,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
197,P.O. Box 319,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
198,2144 Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
199,633 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
200,17 Ext 14,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
201,Lower Mission,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
202,Ngxalathi A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
203,7309 Zizamele Town Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
204,Ndabakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
205,Magalakanqa Location,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
206,6153 Ext 15,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
207,70011 Cuba Flats,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
208,2601 Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
209,Butterworth,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
210,95 Ibika T/Ship,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
211,P O Box 320,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
212,07 Nogela Lane,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
213,Zithulele,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
214,303 Ibika Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
215,Mgcwe A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
216,Ganteaume Crescent,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
217,Kentane,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
218,Magiqweni A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
219,1333 Mcubakazi,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
220,Tutura A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
221,Extansion,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
222,Butetrworth,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
223,Flat 4 Kayalami Flats,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
224,766 Msobomvu Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
225,2485 Cuba Township,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
226,P O Box 6007,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
227,Zimbane A/A,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
228,Walter Sisulu University,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
229,87  12Th Avenue,1,2017-07-02 14:46:37.000,1,NULL,NULL,0,0,1,1
230,6540 Ext 24,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
231,44 Kiepersol Street,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
232,27 Ries Avenue,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
233,52 Robinson Street,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
234,61 King Street,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
235,2491 Msobomvu Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
236,2312 Cuba Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
237,24 Taylor Street,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
238,7877 Nu3,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
239,2084 Cuba Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
240,No 12 Riverview,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
241,1951 Msobomvu Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
242,P/Bag 1022,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
243,Centani Village,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
244,Rolorha A/A,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
245,Centane Village,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
246,Nontshanga A/A,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
247,Msento Location,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
248,1132 Mcubakazi Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
249,Zizamele Township,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
250,D24 Msobomvu Flats,1,2017-07-02 14:46:38.000,1,NULL,NULL,0,0,1,1
