Commodity_ID,CommodityDesc,CommodityExtendedDesc,StatusID,CommodityClassificationID,UnitOfIssueID,CommodityTypeID,VatIndicatorID,CommodityInfoWebsite,IsAwaitingApproval,DateApproved,ApproverID,DateCaptured,CapturerID,DateModified,ModifierID,RejectedReason,AddMarkup,SCOAFundsID,SCOARegionID,SCOACostingID,SCOAProjectID,MeasureGroupCategoryId,ScoaItem,MarkupPercentage,CommodityWAVGchange,CommodityWeightedAvg,CommodityTotalQty,RunningTotal,StoreID,CommodityIDUnique,CommoditySubTypeID
552,Clamp Tester TBM 3030,Clamp Tester TBM 3030,1,6,22,4,1,NULL,0,2020-11-24 16:12:31.923,91,2020-11-24 16:12:31.923,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F11000001,1
553,Electric Tool Kid,Electric Tool Kid,1,6,22,4,2,NULL,0,2020-11-24 16:12:31.957,91,2020-11-24 16:12:31.957,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F11000002,1
554,9W Bulb Energy Saver (BC & ES),9W Bulb Energy Saver (BC & ES),1,6,22,4,1,NULL,0,2020-11-24 16:12:31.987,91,2020-11-24 16:12:31.987,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F11000003,1
555,"4"" Fluorescent Tube","4"" Fluorescent Tube",1,6,22,4,1,,0,2020-11-24 16:12:32.300,91,2020-11-24 16:12:32.300,91,2025-06-18 10:30:56.613,1143,NULL,0,NULL,NULL,NULL,NULL,2,NULL,0.00,NULL,NULL,NULL,NULL,NULL,F11000004,1
556,4  Florescent Double Fittings,"4"" Florescent Double Fittings",1,6,22,4,1,NULL,0,2020-11-24 16:12:32.330,91,2020-11-24 16:12:32.330,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F11000005,1
557,5  Florescent Tube,"5"" Florescent Tube",1,6,22,4,1,NULL,0,2020-11-24 16:12:32.363,91,2020-11-24 16:12:32.363,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F11000006,1
558,Fluorescent Tube Starters,Fluorescent Tube Starters,1,6,22,4,1,,0,2020-11-24 16:12:32.380,91,2020-11-24 16:12:32.380,91,2025-06-18 10:31:48.873,1143,NULL,0,NULL,NULL,NULL,NULL,2,NULL,0.00,NULL,NULL,NULL,NULL,NULL,F11000007,1
559,"Electric motor 1.5 KW, single phase 4Pole,220-240V ","Electric motor 1.5 KW, single phase 4Pole,220-240V ",1,6,22,4,1,,0,2020-11-24 16:12:32.410,91,2020-11-24 16:12:32.410,91,2024-03-26 11:28:54.193,1143,NULL,0,NULL,NULL,NULL,NULL,2,NULL,0.00,NULL,NULL,NULL,NULL,NULL,H11000001,1
560,2.2 KW Motor 4 Pole Foot Mount (single phase),2.2 KW Motor 4 Pole Foot Mount (single phase),1,6,22,4,1,NULL,0,2020-11-24 16:12:32.427,91,2020-11-24 16:12:32.427,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H11000002,1
561,3.0 KW Motor 4 Pole Foot Mount (single phase),3.0 KW Motor 4 Pole Foot Mount (single phase),1,6,22,4,1,NULL,0,2020-11-24 16:12:32.457,91,2020-11-24 16:12:32.457,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H11000003,1
