Inven_HighValueItemId,Inven_HighValueId,InventoryId,Quantity,UnitCost,BinNumber,ValueofTransfer,IsApproved,DateCaptured,CapturedId,DateModified,ModifiedId,Processed,UomId,DateApproved,ApprovedId,ProjectID,ProjectItemID
2,7,73,2.0000,25480.81,12043,50961.62,1,2025-07-23 12:46:26.123,70,2025-07-23 12:57:51.807,1143,NULL,22,2025-07-23 12:57:51.807,1143,7604,59273
3,7,73,4.0000,25480.81,12119,101923.24,1,2025-07-23 12:46:26.137,70,2025-07-23 12:57:51.900,1143,NULL,22,2025-07-23 12:57:51.900,1143,7604,59273
4,7,73,8.0000,25480.81,12306,203846.48,1,2025-07-23 12:46:26.153,70,2025-07-23 12:57:52.007,1143,NULL,22,2025-07-23 12:57:52.007,1143,7604,59273
5,8,690,3.0000,24900.00,12152,74700.00,1,2025-07-23 12:49:49.237,70,2025-07-23 12:57:51.710,1143,NULL,22,2025-07-23 12:57:51.710,1143,7604,59273
6,9,708,1.0000,18120.48,12138,18120.48,1,2025-07-23 12:53:14.013,70,2025-07-23 12:57:51.320,1143,NULL,22,2025-07-23 12:57:51.320,1143,7604,59273
7,9,708,1.0000,18120.48,12181,18120.48,1,2025-07-23 12:53:14.027,70,2025-07-23 12:57:51.413,1143,NULL,22,2025-07-23 12:57:51.413,1143,7604,59273
8,9,708,1.0000,18120.48,12208,18120.48,1,2025-07-23 12:53:14.027,70,2025-07-23 12:57:51.510,1143,NULL,22,2025-07-23 12:57:51.510,1143,7604,59273
9,9,708,1.0000,18120.48,12360,18120.48,1,2025-07-23 12:53:14.027,70,2025-07-23 12:57:51.603,1143,NULL,22,2025-07-23 12:57:51.603,1143,7604,59273
10,10,929,3.0000,180685.08,12110,542055.24,1,2025-07-23 12:54:50.733,70,2025-07-23 12:57:51.210,1143,NULL,22,2025-07-23 12:57:51.210,1143,7604,59273
11,11,935,1.0000,163027.85,12137,163027.85,1,2025-07-23 12:56:12.257,70,2025-07-23 12:57:50.947,1143,NULL,22,2025-07-23 12:57:50.947,1143,7604,59273
12,12,690,1.0000,24900.00,12166,24900.00,1,2025-07-23 14:17:42.603,70,2025-07-23 14:20:04.177,1143,NULL,22,2025-07-23 14:20:04.177,1143,7604,59273
13,14,832,5.0000,9865.00,12545,49325.00,1,2025-07-28 17:39:23.747,70,2025-07-28 17:57:00.400,1143,NULL,22,2025-07-28 17:57:00.400,1143,7604,59273
14,16,690,1.0000,24900.00,12166,24900.00,1,2025-07-28 17:45:29.630,70,2025-07-28 17:57:00.120,1143,NULL,22,2025-07-28 17:57:00.120,1143,7604,59273
15,16,690,1.0000,24900.00,11993,24900.00,1,2025-07-28 17:45:29.630,70,2025-07-28 17:57:00.230,1143,NULL,22,2025-07-28 17:57:00.230,1143,7604,59273
16,17,862,1.0000,780.00,12521,780.00,1,2025-07-28 17:49:12.817,70,2025-07-28 17:57:00.010,1143,NULL,22,2025-07-28 17:57:00.010,1143,7604,59273
17,18,112,4.0000,1108.00,11921,4432.00,1,2025-07-28 17:51:49.477,70,2025-07-28 17:56:59.820,1143,NULL,22,2025-07-28 17:56:59.820,1143,7604,59273
18,18,112,1.0000,1108.00,12125,1108.00,1,2025-07-28 17:51:49.477,70,2025-07-28 17:56:59.913,1143,NULL,22,2025-07-28 17:56:59.913,1143,7604,59273
19,19,936,1.0000,16240.00,12139,16240.00,1,2025-07-28 17:53:52.253,70,2025-07-28 17:56:59.707,1143,NULL,22,2025-07-28 17:56:59.707,1143,7604,59273
20,20,426,9.0000,3508.17,12552,31573.53,1,2025-07-28 17:55:08.103,70,2025-07-28 17:56:59.453,1143,NULL,22,2025-07-28 17:56:59.453,1143,7604,59273
21,21,929,3.0000,180685.08,12606,542055.24,1,2025-07-30 12:53:06.030,70,2025-07-30 12:58:45.147,1143,NULL,22,2025-07-30 12:58:45.147,1143,7604,59273
22,22,538,6.0000,157181.00,12607,943086.00,1,2025-07-30 12:55:35.850,70,2025-07-30 12:58:45.053,1143,NULL,22,2025-07-30 12:58:45.053,1143,7604,59273
23,23,539,1.0000,233669.00,12608,233669.00,1,2025-07-30 12:57:04.647,70,2025-07-30 12:58:44.877,1143,NULL,22,2025-07-30 12:58:44.877,1143,7604,59273
24,24,539,1.0000,214600.75,12609,214600.75,1,2025-07-30 14:22:12.407,70,2025-07-30 14:23:24.747,1143,NULL,22,2025-07-30 14:23:24.747,1143,7604,59273
25,25,538,1.0000,127159.20,12614,127159.20,1,2025-08-08 09:14:19.387,70,2025-08-08 09:15:38.617,1143,NULL,22,2025-08-08 09:15:38.617,1143,7604,59273
