AssetContractDetail_ID,AssetContractHeaderId,RegisterItemsId,RequisitionBillOfQuantityId,QuotationServiceDetailId,InformalTenderServiceDetailId,InvoiceDetailId,CreditDebtNoteDetailId,ProjectItemId,SCOAItem,GoodsServiceDescription,UOM,Quantity,Rate,Amount,IsAsset,AssetDescription,CIDMS_Sub_Component_Type,Asset_Type,Asset_Category,Asset_Sub_Category,Measurement_Type,Asset_Status,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,ContractDetailItemId
1386,254,NULL,4974,NULL,NULL,NULL,NULL,142771,6417,Construction of Xhibeni via Maqoma Access Road,5,1.0000,6718987.83,6718987.83,0,Construction of Xhibeni via Maqoma Access Road,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-28 15:08:13.860,240,NULL,NULL,3170
1387,255,NULL,4972,NULL,NULL,NULL,NULL,150483,6417,Construction of Huku to Njingini Access Road (Ward 32),5,1.0000,6986379.13,6986379.13,0,Construction of Huku to Njingini Access Road (Ward 32),NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-28 15:38:15.840,240,NULL,NULL,3171
1388,256,NULL,4970,NULL,NULL,NULL,NULL,150509,6417,"Construction of Sivangxa, Matshanganeni via Jojweni to Majamaneni Access Road (Ward 15)",5,1.0000,4928045.22,4928045.22,0,"Construction of Sivangxa, Matshanganeni via Jojweni to Majamaneni Access Road (Ward 15)",NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-28 15:58:49.260,240,NULL,NULL,3172
1389,257,NULL,4975,NULL,NULL,NULL,NULL,142833,6417,Construction of Nciba Access Road (ward 11),5,1.0000,6094506.09,6094506.09,0,Construction of Nciba Access Road (ward 11),NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 10:09:00.670,240,NULL,NULL,3173
1390,258,NULL,4976,NULL,NULL,NULL,NULL,150813,6417,Paving of Centane Internal Streets,5,1.0000,7793279.13,7793279.13,0,Paving of Centane Internal Streets,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 11:33:24.130,240,NULL,NULL,3174
1391,259,NULL,4977,NULL,NULL,NULL,NULL,150568,6417,Erection and Refurbishment of Ext 2 Streetlights,5,1.0000,4194513.91,4194513.91,0,Erection and Refurbishment of Ext 2 Streetlights,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 12:03:03.267,240,NULL,NULL,3175
1392,260,NULL,4971,NULL,NULL,NULL,NULL,150488,6417,Construction of Jan Nomjana Access Road (Ward 20),5,1.0000,5107253.91,5107253.91,0,Construction of Jan Nomjana Access Road (Ward 20),NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 12:13:16.673,240,NULL,NULL,3176
1393,261,NULL,4978,NULL,NULL,NULL,NULL,142749,6417,Ibika Internal Streets,5,1.0000,13478945.22,13478945.22,0,Ibika Internal Streets,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 12:37:39.473,240,NULL,NULL,3177
1394,255,NULL,NULL,NULL,NULL,75697,NULL,150483,6417,Construction of Huku to Njingini Access Road (Ward 32) / - / -,5,1.0000,866022.93,866022.93,0,Construction of Huku to Njingini Access Road (Ward 32) / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-01 12:58:29.357,80,NULL,NULL,3171
1395,254,NULL,NULL,NULL,NULL,75668,NULL,142771,6417,Construction of Xhibeni via Maqoma Access Road / - / -,5,1.0000,365355.00,365355.00,0,Construction of Xhibeni via Maqoma Access Road / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-01 12:59:31.123,80,NULL,NULL,3170
1396,262,NULL,4984,NULL,NULL,NULL,NULL,142732,6417,Municipal Offices,5,1.0000,51656723.48,51656723.48,0,Municipal Offices,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-04 11:35:38.590,240,NULL,NULL,3183
1397,262,NULL,NULL,NULL,NULL,75719,NULL,142732,6417,Municipal Offices / - / -,5,1.0000,3807105.09,3807105.09,0,Municipal Offices / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-04 14:08:18.667,80,NULL,NULL,3183
1398,263,NULL,NULL,NULL,2986,NULL,NULL,142939,9472,Request for procurement of Firewall License,5,1.0000,143747.83,143747.83,0,Request for procurement of Firewall License,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-04 16:25:20.723,240,NULL,NULL,3189
1399,263,NULL,NULL,NULL,NULL,75720,NULL,142939,9472,Request for procurement of Firewall License / - / -,5,1.0000,143747.83,143747.83,0,Request for procurement of Firewall License / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-04 17:27:51.307,80,NULL,NULL,3189
1401,265,NULL,5005,NULL,NULL,NULL,NULL,150858,6417,Rehabilitation of Jojweni-Mzitheni Access Road (Ward 10),5,1.0000,7111661.74,7111661.74,0,Rehabilitation of Jojweni-Mzitheni Access Road (Ward 10),NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-07 15:44:48.193,240,NULL,NULL,3210
1402,266,NULL,5006,NULL,NULL,NULL,NULL,142779,6417,Refurbishment of Msobomvu Hall,5,1.0000,4519331.30,4519331.30,0,Refurbishment of Msobomvu Hall,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-08 13:04:32.400,240,NULL,NULL,3211
1403,267,NULL,5007,NULL,NULL,NULL,NULL,142731,6417,Municipal Offices- Professional Services,5,1.0000,517189.57,517189.57,0,Municipal Offices- Professional Services,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-08 13:43:09.730,240,NULL,NULL,3212
1404,268,NULL,5015,NULL,NULL,NULL,NULL,142783,6417,Animal Pound - Fencing and ground levelling,5,1.0000,968393.04,968393.04,0,Animal Pound - Fencing and ground levelling,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-11 15:35:27.327,240,NULL,NULL,3220
1405,269,NULL,5016,NULL,NULL,NULL,NULL,150823,6417,Paving of Side Parking in King and Merriman Streets,5,1.0000,1376401.74,1376401.74,0,Paving of Side Parking in King and Merriman Streets,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-11 16:26:03.180,240,NULL,NULL,3221
1406,267,NULL,NULL,NULL,NULL,75737,NULL,142731,6417,Municipal Offices- Professional Services / - / -,5,1.0000,106978.73,106978.73,0,Municipal Offices- Professional Services / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-13 17:04:19.870,80,NULL,NULL,3212
1407,266,NULL,NULL,NULL,NULL,75736,NULL,142779,6417,Refurbishment of Msobomvu Hall / - / -,5,1.0000,487356.00,487356.00,0,Refurbishment of Msobomvu Hall / - / -,NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-13 17:06:13.133,80,NULL,NULL,3211
1408,256,NULL,NULL,NULL,NULL,75745,NULL,150509,6417,"Construction of Sivangxa, Matshanganeni via Jojweni to Majamaneni Access Road (Ward 15) / - / -",5,1.0000,348247.08,348247.08,0,"Construction of Sivangxa, Matshanganeni via Jojweni to Majamaneni Access Road (Ward 15) / - / -",NULL,NULL,NULL,NULL,NULL,NULL,1,2025-08-13 17:31:35.507,80,NULL,NULL,3172
