ContractDetailItems_ID,ContractID,RequisitionDetailID,Cost,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,VatAmount,TotalAmount,VatExempt,ServiceItem,GoodsItem,PreviousContractDetailItemsID,BillOfQuantityID,VariationAmount,OriginalTotalAmount,VoidAmount,OriginalVATAmount,VoidVATAmount,PlanProjectItemId,IsScopedExtensionVariation
3170,740,43369,6718987.83,1,2025-07-28 15:07:48.427,240,NULL,NULL,1007848.17,7726836.00,0,1,0,NULL,4974,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3171,741,43371,6986379.13,1,2025-07-28 15:37:51.457,240,NULL,NULL,1047956.87,8034336.00,0,1,0,NULL,4972,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3172,742,43373,4928045.22,1,2025-07-28 15:58:06.947,240,NULL,NULL,739206.78,5667252.00,0,1,0,NULL,4970,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3173,743,43370,6094506.09,1,2025-07-29 10:08:25.297,240,NULL,NULL,914175.91,7008682.00,0,1,0,NULL,4975,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3174,744,43431,7793279.13,1,2025-07-29 11:32:58.060,240,NULL,NULL,1168991.87,8962271.00,0,1,0,NULL,4976,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3175,745,43379,4194513.91,1,2025-07-29 12:02:14.267,240,2025-09-30 10:10:46.357,294,629177.09,4823691.00,0,1,0,NULL,4977,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3176,746,43372,5107253.91,1,2025-07-29 12:12:46.127,240,NULL,NULL,766088.09,5873342.00,0,1,0,NULL,4971,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3177,747,43374,13478945.22,1,2025-07-29 12:36:29.217,240,NULL,NULL,2021841.78,15500787.00,0,1,0,NULL,4978,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3183,751,43803,51656723.48,1,2025-08-04 11:35:13.427,240,NULL,NULL,7748508.52,59405232.00,0,1,0,NULL,4984,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3189,753,43825,143747.83,1,2025-08-04 16:24:56.023,240,NULL,NULL,21562.17,165310.00,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3210,761,43840,7111661.74,1,2025-08-07 15:44:07.233,240,NULL,NULL,1066749.26,8178411.00,0,1,0,NULL,5005,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3211,762,43943,4519331.30,1,2025-08-08 13:03:56.540,240,NULL,NULL,677899.70,5197231.00,0,1,0,NULL,5006,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3212,763,43911,517189.57,1,2025-08-08 13:40:37.150,240,NULL,NULL,77578.44,594768.01,0,1,0,NULL,5007,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3220,766,43957,968393.04,1,2025-08-11 15:34:59.487,240,NULL,NULL,145258.96,1113652.00,0,1,0,NULL,5015,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3221,767,43843,1376401.74,1,2025-08-11 16:25:36.130,240,NULL,NULL,206460.26,1582862.00,0,1,0,NULL,5016,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3235,770,43377,7714324.35,1,2025-08-15 12:28:13.813,240,2025-10-09 10:56:56.210,277,1157148.65,8871473.00,0,1,0,NULL,5021,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3244,776,44544,1039199.13,1,2025-08-19 14:22:27.130,240,2025-11-25 15:44:12.960,174,155879.87,1195079.00,0,1,0,NULL,5202,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3303,779,42869,59989.96,1,2025-08-20 07:35:04.287,1,NULL,NULL,8998.49,68988.45,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3304,779,42870,97376.70,1,2025-08-20 07:35:04.287,1,NULL,NULL,14606.50,111983.20,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3305,779,42871,1728.65,1,2025-08-20 07:35:04.287,1,NULL,NULL,259.30,1987.95,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3307,781,44061,2569980.00,1,2025-08-25 16:36:23.013,240,2025-10-09 10:56:03.587,277,385497.00,2955477.00,0,1,0,NULL,5204,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3411,793,45385,778212.00,1,2025-09-03 17:17:03.963,294,2025-09-03 17:24:18.727,109,0.00,778212.00,1,1,0,NULL,5397,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3412,794,43941,1746919.13,1,2025-09-05 08:29:38.733,294,NULL,NULL,262037.87,2008957.00,0,1,0,NULL,5398,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3415,796,43101,311605.44,1,2025-09-10 16:25:58.863,240,NULL,NULL,46740.82,358346.26,0,0,1,NULL,5407,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3416,796,43102,5531.68,1,2025-09-10 16:25:58.880,240,NULL,NULL,829.75,6361.43,0,0,1,NULL,5408,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3417,797,45363,705849.33,1,2025-09-11 10:52:15.937,294,NULL,NULL,105877.40,811726.73,0,0,1,NULL,5411,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3483,807,45517,2231575.00,1,2025-09-29 14:16:14.630,240,NULL,NULL,334736.25,2566311.25,0,1,0,NULL,5468,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3484,808,45515,1758206.25,1,2025-09-29 15:30:33.790,240,NULL,NULL,263730.94,2021937.19,0,1,0,NULL,5469,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3579,824,46499,1111395.66,1,2025-10-22 09:06:04.557,240,NULL,NULL,166709.35,1278105.01,0,0,1,NULL,5549,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3580,825,46282,10000.00,1,2025-10-22 13:09:02.603,240,NULL,NULL,0.00,10000.00,1,1,0,NULL,5558,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3581,825,46286,9500.00,1,2025-10-22 13:09:02.620,240,NULL,NULL,0.00,9500.00,1,1,0,NULL,5562,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3582,825,46281,15000.00,1,2025-10-22 13:09:02.620,240,NULL,NULL,0.00,15000.00,1,1,0,NULL,5557,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3583,825,46283,11500.00,1,2025-10-22 13:09:02.620,240,NULL,NULL,0.00,11500.00,1,1,0,NULL,5559,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3584,825,46284,9500.00,1,2025-10-22 13:09:02.637,240,NULL,NULL,0.00,9500.00,1,1,0,NULL,5560,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3585,825,46285,4000.00,1,2025-10-22 13:09:02.637,240,NULL,NULL,0.00,4000.00,1,1,0,NULL,5561,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3586,825,46287,2154.38,1,2025-10-22 13:09:02.637,240,NULL,NULL,0.00,2154.38,1,1,0,NULL,5563,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3587,826,46368,10000.00,1,2025-10-22 15:43:03.170,240,NULL,NULL,0.00,10000.00,1,1,0,NULL,5565,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3588,826,46372,19000.00,1,2025-10-22 15:43:03.187,240,NULL,NULL,0.00,19000.00,1,1,0,NULL,5569,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3589,826,46367,15000.00,1,2025-10-22 15:43:03.187,240,NULL,NULL,0.00,15000.00,1,1,0,NULL,5564,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3590,826,46369,23000.00,1,2025-10-22 15:43:03.203,240,NULL,NULL,0.00,23000.00,1,1,0,NULL,5566,NULL,NULL,NULL,NULL,NULL,NULL,NULL
