Contract_ID,ContractNumber,ContractDescription,TenderQuotation,TenderQuotationID,ContractManagerID,ServiceTypeID,VoteID,OrderNumber,Contractvalue,PlannedStartDate,PlannedEndDate,RevisedStartDate,RevisedEndDate,ActualStartDate,ActualEndDate,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,FinancialYear,ContractStatusId,Comments,QuantityDriven,VendorID,ProcurementID,RetentionIndicator,RetentionRate,ContractTypeID,CurrentPeriodCommitment,InvoicedAmount,RevisedContractValue,ContractType_ID,Status_ID,Milestone_ID,VariationLimitID,DebitOrderRef,DebitOrderExpiryDate,IsVoid,VoidedDate,VoidedReason,VoidedBy,ReferenceToID,RetentionStartDate,RetentionEndDate,PayCertificateRequired,LoanRegisterID,LoanContract,GuaranteeRate,GuaranteeRateStartDate,GuaranteeRateEndDate,GuaranteeQuantityDriven,GuaranteeIndicator,SocialResponsibilityIndicator,SocialResponsibilityRate,TotalRetentionReleased,TotalRetentionRetained,TotalGuaranteeReleased,TotalGuaranteeRetained,PreviousContractID,FinalApprovedBy,FinalApprovedDate,PanelOfVendors,TotalRetentionWithholding,TotalGuaranteeWithholding,isContractTakeOn
740,C28/7/741/2025-2026,Construction of Xhobeni via Maqoma Access Road,1,780,297,1,NULL,Ord20220311_0000432,7726836.00,2025-07-28 00:00:00.000,2026-01-31 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-28 15:07:48.317,240,2026-02-11 14:36:18.020,664,2025/2026,3059,,0,5236,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-07-28 00:00:00.000,2026-02-28 00:00:00.000,0,NULL,0,0.05,2026-03-01 00:00:00.000,2026-05-30 00:00:00.000,0,1,0,NULL,772683.58,901349.34,386341.77,450674.65,NULL,1676,2025-07-28 15:08:13.467,5236,NULL,NULL,NULL
741,C28/7/742/2025-2026,Construction of Huku to Njingini Access Road,1,778,297,1,NULL,NULL,8034336.00,2025-07-28 00:00:00.000,2026-02-28 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-28 15:37:51.393,240,2025-12-11 10:18:54.670,663,2025/2026,3059,,0,5288,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-07-28 00:00:00.000,2026-06-16 00:00:00.000,0,NULL,0,0.05,2026-03-01 00:00:00.000,2026-05-28 00:00:00.000,0,1,0,NULL,401716.78,987679.94,401716.79,493839.98,NULL,1676,2025-07-28 15:38:15.767,5288,NULL,NULL,NULL
742,C28/7/743/2025-2026,"Construction of Sivanga, Matshangeneni via Jojweni to Majamaneni Access Road",1,776,297,1,NULL,NULL,5667252.00,2025-07-28 00:00:00.000,2026-01-31 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-28 15:58:06.900,240,2026-03-03 15:39:47.687,663,2025/2026,3059,,0,1135,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-12-01 00:00:00.000,2026-01-31 00:00:00.000,0,NULL,0,0.05,2026-04-01 00:00:00.000,2026-06-30 00:00:00.000,0,1,0,NULL,NULL,509520.66,NULL,254760.34,NULL,1676,2025-07-28 15:58:49.133,1135,NULL,NULL,NULL
743,C29/7/744/2025-2026,Construction of Nciba Access Road Phase2,1,781,297,1,NULL,NULL,7008682.00,2025-07-29 00:00:00.000,2026-02-28 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-29 10:08:25.173,240,2025-11-17 16:36:21.470,663,2025/2026,3059,,0,979,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 00:00:00.000,2026-03-31 00:00:00.000,0,NULL,0,0.05,2026-04-01 00:00:00.000,2026-02-28 00:00:00.000,0,1,0,NULL,350434.09,700868.20,350434.09,350434.09,NULL,1676,2025-07-29 10:09:00.287,979,NULL,NULL,NULL
744,C29/7/745/2025-2026,Paving of Centane Internal Streets,1,782,297,1,NULL,NULL,8962271.00,2025-07-29 00:00:00.000,2026-04-30 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-29 11:32:58.027,240,2026-01-26 16:01:42.680,194,2025/2026,3059,,0,1959,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 00:00:00.000,2026-05-31 00:00:00.000,0,NULL,0,0.05,2026-06-01 00:00:00.000,2026-08-31 00:00:00.000,0,1,0,NULL,NULL,765381.93,NULL,382690.99,NULL,1676,2025-07-29 11:33:24.040,1959,NULL,NULL,NULL
745,C29/7/746/2025-2026,Erection and Refurbishment of Ext 2 Streetlights,1,783,16,1,NULL,NULL,4823691.00,2025-07-29 00:00:00.000,2026-03-31 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-29 12:02:14.190,240,2026-03-03 11:38:59.760,663,2025/2026,3059,,0,1364,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-09-30 00:00:00.000,2026-05-31 00:00:00.000,0,NULL,0,0.05,2025-09-30 00:00:00.000,2026-04-30 00:00:00.000,0,1,0,NULL,NULL,622398.36,NULL,311199.19,NULL,1676,2025-07-29 12:03:03.163,1364,NULL,NULL,NULL
746,C29/7/747/2025-2026,Construction of Jan Nomjana Access Road,1,777,297,1,NULL,NULL,5873342.00,2025-07-29 00:00:00.000,2026-02-01 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-29 12:12:46.093,240,2026-02-18 10:33:56.750,80,2025/2026,3059,,0,176,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-07-29 00:00:00.000,2026-04-30 00:00:00.000,0,NULL,0,0.05,2026-05-01 00:00:00.000,2026-07-31 00:00:00.000,0,1,0,NULL,NULL,624116.51,NULL,312058.24,NULL,1676,2025-07-29 12:13:16.597,176,NULL,NULL,NULL
747,C29/7/748/2025-2026,Paving of Ibika Internal Streets,1,784,297,5,NULL,NULL,15500787.00,2025-07-29 00:00:00.000,2026-03-31 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-07-29 12:36:29.170,240,2026-03-03 12:27:23.997,663,2025/2026,3059,,0,1327,NULL,1,0.10,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2026-05-01 00:00:00.000,2026-06-06 00:00:00.000,0,NULL,0,0.05,2026-06-01 00:00:00.000,2026-09-30 00:00:00.000,0,1,0,NULL,NULL,1305222.99,NULL,652611.51,NULL,1676,2025-07-29 12:37:39.373,1327,NULL,NULL,NULL
751,C4/8/752/2025-2026,Construction of New Mnquma Local Municipality offices,1,789,1453,1,NULL,NULL,59405232.00,2025-08-04 00:00:00.000,2025-11-30 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-08-04 11:35:13.333,240,2026-03-03 11:52:07.773,663,2025/2026,3059,,0,5290,NULL,1,0.05,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,1,2025-08-04 00:00:00.000,2026-01-30 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,2172017.94,0.00,0.00,NULL,1676,2025-08-04 11:35:38.203,5290,NULL,NULL,NULL
753,C4/8/754/2025-2026,Procurement of Internet Connectivity VPN VOPI Mail security,NULL,441,482,5,NULL,NULL,165310.00,2025-08-04 00:00:00.000,2025-11-30 00:00:00.000,NULL,NULL,NULL,NULL,1,2025-08-04 16:24:55.990,240,2025-08-04 17:27:51.180,80,2025/2026,3059,,0,1738,NULL,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,0,0,NULL,0.00,0.00,0.00,0.00,NULL,1676,2025-08-04 16:25:20.640,1738,NULL,NULL,NULL
