InvoiceDetail_ID,InvoiceID,ItemDescription,UnitPrice,QuantityOrder,QuantityReceived,VatInclude,Amount,ReceivedUnitPrice,VatAmount,TotalAmount,StatusID,ApprovedBy,ApprovedDate,CancelReason,EmployeeID,SCOAFunctionID,SCOAItemID,SCOARegionID,SCOACostingID,SCOAProjectID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,VoteId,OrderDetailID,IsVoid,VoidedDate,VoidedReason,VoidedBy,GRRDetailID,ServiceInvoiceDetailID,isDiscounted,DiscountRate,DiscountAmount,DiscountedAmount,IsVatExemption,ContractDetailItemsID,DivisionId,VATApportionmentPercentage,VATApportionmentAmount,PlanProjectItemID,ContractServiceRequestDetailsId,TakeOnContractDetailId,LinkedInvoiceDetailId
432,314,Mathole to Centuli Access Road-Mathole to Centuli Access Road (1.0000),4051501.73,1.0000,1.0000,1,558761.49,558761.49,83814.22,642575.71,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-10-29 18:28:56.227,81,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,16867,3,NULL,NULL
433,315," Plant and Equipment Cost Model Roads Infrastructure Cost Acquisitions-Ndaba to Mzantsi Access Road(1.0000)",7202907.80,1.0000,1.0000,1,361673.33,361673.33,54250.99,415924.32,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-10-30 09:02:03.543,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,16880,4,NULL,NULL
434,316,Komkhulu to Nyulu Access Road-Komkulu to Nyulula Access Road(1.0000),4246396.04,1.0000,1.0000,1,635036.62,635036.62,95255.49,730292.11,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-10-30 11:54:50.623,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,16869,5,NULL,NULL
435,317,Rehabilitation of Maqgudwana Road-Rehabilitation of Magqudwana (1.0000),6505434.80,1.0000,1.0000,1,331710.38,331710.38,49756.55,381466.93,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,4857,1,2019-10-30 11:59:11.060,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,16871,6,NULL,NULL
436,318," 387-Ngobozi Access Road -Construction of Ngobozi Access Road(1.0000)",4711822.30,1.0000,1.0000,1,755214.30,755214.30,113282.14,868496.44,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-10-30 12:03:43.057,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,16865,7,NULL,NULL
447,329," 387-Ngobozi Access Road -Construction of Ngobozi Access Road(1.0000)",4711822.30,1.0000,1.0000,1,446697.60,446697.60,67004.64,513702.24,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-11-20 15:25:41.440,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,16865,17,NULL,NULL
448,330,Rehabilitation of Maqgudwana Road-Rehabilitation of Magqudwana (1.0000),6505434.80,1.0000,1.0000,1,686716.48,686716.48,103007.47,789723.95,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,4857,1,2019-11-20 15:28:41.587,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,16871,18,NULL,NULL
449,331,Komkhulu to Nyulu Access Road-Komkulu to Nyulula Access Road(1.0000),4246396.04,1.0000,1.0000,1,348422.46,348422.46,52263.36,400685.82,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-11-20 15:31:41.427,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,16869,19,NULL,NULL
450,332," Plant and Equipment Cost Model Roads Infrastructure Cost Acquisitions-Ndaba to Mzantsi Access Road(1.0000)",7202907.80,1.0000,1.0000,1,506195.68,506195.68,75929.35,582125.03,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-11-20 15:34:13.647,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,16880,20,NULL,NULL
451,333,Mathole to Centuli Access Road-Mathole to Centuli Access Road (1.0000),4051501.73,1.0000,1.0000,1,829731.37,829731.37,124459.70,954191.07,NULL,NULL,NULL,NULL,NULL,267,41285,232,20,1526,1,2019-11-20 15:36:16.777,82,NULL,NULL,29294,NULL,0,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,16867,21,NULL,NULL
