Invoice_ID,OrderID,GRNID,VendorInvoiceNumber,InvoiceDate,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,StatusID,FinancialYear,ApprovedBy,ApprovedDate,CancelReason,Comments,VoteSectionID,VendorCreditorID,PayrollPeriodID,AccountID,VendorInvoiceNumberCustom,ServiceInvoiceID,DocNumber,Calculated_Invoice_Amount,Retention_Amount,DocumentStatus,RemittanceAdviceID,ContractID,InvoicingVendorID,EFTGeneratedDate,IsEFTApproved,IsEFTGenerated,EFTApprovedDate,EFTApprovedBy,EFTDeclineReason,OldInvoiceNumber,PaymentReference,GRNDetailID,Discount,VolumeDiscount,DiscountToAll,DiscountRate,DiscountAmount,InvoiceReceivedDate,FinalApprovedBy,FinalApprovedDate,PaymentCertificateId,CashbookId,Guarantee_Amount,SocialResp_Amount,RetentionReleased,GuaranteeReleased,ContractServiceRequestId,TakeOnContractId,ProcessingMonth,IsTransferredToLongTermLiability,LongTermAgreementDate,TransferredDate,TransferredSCOAItemId,VoidProcessingMonth,RetentionWithholding,GuaranteeWithholding,WithholdingDate,WithholdingComments
314,NULL,NULL,I29/10/00000315/2019-2020,2019-08-05 00:00:00.000,1,2019-10-29 18:28:55.663,81,2019-10-29 18:40:25.280,79,83,2019/2020,381,2019-10-29 18:37:00.000,,,8,433,NULL,NULL,MAT/ZE/01,41,124/314,642575.71,0.00,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MAT/ZE/01,NULL,0,NULL,NULL,NULL,NULL,2019-08-05 00:00:00.000,167,2019-10-29 18:39:00.000,NULL,NULL,0.00,0.00,NULL,NULL,55,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,NULL,NULL,I30/10/00000316/2019-2020,2019-08-05 00:00:00.000,1,2019-10-30 09:02:03.043,82,2019-10-30 16:20:45.040,79,83,2019/2020,381,2019-10-30 09:54:00.000,,,8,714,NULL,NULL,NDA/MN/01,40,124/315,415924.32,0.00,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NDA/MN/01,NULL,0,NULL,NULL,NULL,NULL,2019-08-05 00:00:00.000,167,2019-10-30 16:19:00.000,NULL,NULL,0.00,0.00,NULL,NULL,56,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,NULL,NULL,I30/10/00000317/2019-2020,2019-08-05 00:00:00.000,1,2019-10-30 11:54:50.343,82,2019-10-30 12:25:16.850,79,83,2019/2020,381,2019-10-30 12:14:00.000,,,8,743,NULL,NULL,KOM/S1/01,44,124/316,730292.11,0.00,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KOM/S1/01,NULL,0,NULL,NULL,NULL,NULL,2019-08-05 00:00:00.000,167,2019-10-30 12:23:00.000,NULL,NULL,0.00,0.00,NULL,NULL,57,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,NULL,NULL,I30/10/00000318/2019-2020,2019-07-31 00:00:00.000,1,2019-10-30 11:59:10.810,82,2019-10-30 12:30:54.790,79,83,2019/2020,381,2019-10-30 12:23:00.000,,,8,947,NULL,NULL,DUM/ROM/01,42,124/317,381466.93,0.00,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DUM/ROM/01,NULL,0,NULL,NULL,NULL,NULL,2019-07-31 00:00:00.000,167,2019-10-30 12:29:00.000,NULL,NULL,0.00,0.00,NULL,NULL,58,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,NULL,NULL,I30/10/00000319/2019-2020,2019-08-05 00:00:00.000,1,2019-10-30 12:03:42.793,82,2019-10-30 12:28:29.160,79,83,2019/2020,381,2019-10-30 12:16:00.000,,,8,1034,NULL,NULL,NGO/DE/01,43,124/318,868496.44,0.00,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NGO/DE/01,NULL,0,NULL,NULL,NULL,NULL,2019-08-05 00:00:00.000,167,2019-10-30 12:27:00.000,NULL,NULL,0.00,0.00,NULL,NULL,59,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,NULL,NULL,I20/11/00000330/2019-2020,2019-08-29 00:00:00.000,1,2019-11-20 15:25:41.050,82,2019-11-20 17:54:05.127,79,83,2019/2020,381,2019-11-20 17:46:00.000,,,8,1034,NULL,NULL,NGO/DE/02,43,124/329,513702.24,0.00,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NGO/DE/02,NULL,0,NULL,NULL,NULL,NULL,2019-08-29 00:00:00.000,167,2019-11-20 17:53:00.000,NULL,NULL,0.00,0.00,NULL,NULL,61,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,NULL,NULL,I20/11/00000331/2019-2020,2019-09-05 00:00:00.000,1,2019-11-20 15:28:41.320,82,2019-11-20 17:55:31.020,79,83,2019/2020,381,2019-11-20 17:44:00.000,,,8,947,NULL,NULL,ROM/DU/02,42,124/330,789723.95,0.00,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ROM/DU/02,NULL,0,NULL,NULL,NULL,NULL,2019-09-05 00:00:00.000,167,2019-11-20 17:54:00.000,NULL,NULL,0.00,0.00,NULL,NULL,62,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,NULL,NULL,I20/11/00000332/2019-2020,2019-08-29 00:00:00.000,1,2019-11-20 15:31:41.193,82,2019-11-20 17:56:46.453,79,83,2019/2020,381,2019-11-20 17:41:00.000,,,8,743,NULL,NULL,KOM/SI/02,44,124/331,400685.82,0.00,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KOM/SI/02,NULL,0,NULL,NULL,NULL,NULL,2019-08-29 00:00:00.000,167,2019-11-20 17:56:00.000,NULL,NULL,0.00,0.00,NULL,NULL,63,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,NULL,NULL,I20/11/00000333/2019-2020,2019-08-29 00:00:00.000,1,2019-11-20 15:34:13.163,82,2019-11-21 09:08:04.063,79,83,2019/2020,381,2019-11-21 09:05:00.000,,,8,714,NULL,NULL,NDA/MN/02,40,124/332,582125.03,0.00,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NDA/MN/02,NULL,0,NULL,NULL,NULL,NULL,2019-08-29 00:00:00.000,167,2019-11-21 09:07:00.000,NULL,NULL,0.00,0.00,NULL,NULL,64,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,NULL,NULL,I20/11/00000334/2019-2020,2019-09-05 00:00:00.000,1,2019-11-20 15:36:16.543,82,2019-11-20 17:52:10.737,79,83,2019/2020,381,2019-11-20 17:47:00.000,,,8,433,NULL,NULL,MAT/ZE/02,41,124/333,954191.07,0.00,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MAT/ZE/02,NULL,0,NULL,NULL,NULL,NULL,2019-09-05 00:00:00.000,167,2019-11-20 17:50:00.000,NULL,NULL,0.00,0.00,NULL,NULL,65,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
