BillOfQuantityId,RequisitionID,TenderID,PurchaseItem,PurchaseItem2,PurchaseItem3,UOM,Quantity,RequisitionDetailID,ProjectID,SCOAItemID,PreviousBillOfQuantityId
67,647,61,Qolorha Access Road,,,4,1.0000,940,8837,41285,NULL
71,648,63,Construction of Thanga Outdoor Sports Facility,,,5,1.0000,941,8683,41198,NULL
73,651,64,Outdoor sports facility,,,4,1.0000,944,8905,41198,NULL
75,652,65,Paving of King and Blyth Street,,,4,1.0000,945,9079,41285,NULL
110,1191,69,Four Tone Cherry Picker,-,-,5,1.0000,2126,11757,24607,NULL
111,1191,69,Skip Loader truck,-,-,5,1.0000,2127,11757,24607,NULL
112,1191,69,Tractors,-,-,5,2.0000,2128,11757,24607,NULL
113,1191,69,Bus,-,-,5,1.0000,2129,11757,24607,NULL
114,1191,69,Taxi,-,-,5,1.0000,2130,11757,24607,NULL
115,1191,69,Double Cab Bakkies,-,-,5,2.0000,2131,11757,24607,NULL
116,1191,69,Double Cab Bakkie,-,-,5,1.0000,2132,11757,24607,NULL
117,1191,69,Long Base Bakkies,-,-,5,3.0000,2133,11757,24607,NULL
118,1191,69,Sedans,-,-,5,2.0000,2134,11757,24607,NULL
119,1191,69,Hash Back Vehicle,-,-,5,1.0000,2135,11757,24607,NULL
208,1812,82,Silver line 5 seater,-,-,5,5.0000,3550,11838,117,NULL
209,1812,82,Chairman high Back Chair with Headrest Black Netted Back- Fabric Contract,-,-,5,10.0000,3551,11838,117,NULL
210,1812,82,Desks-Based Screen-Curved Aluminium Frame= Burgundy,-,-,5,2.0000,3552,11838,117,NULL
211,1812,82,Bow Front Desk-PM,-,-,5,2.0000,3553,11838,117,NULL
212,1812,82," Bookcase floor standing-Glass and Solid Hinged Doors- Mahogany",-,-,5,2.0000,3554,11838,117,NULL
213,1812,82,4 TIER Book Case,-,-,5,1.0000,3555,11838,117,NULL
214,1812,82,Top retrieval Filling Cabinet,-,-,5,2.0000,3556,11838,117,NULL
215,1812,82,OPTI-Plan Mobile Unit and accessories- high density 5 bay unit,-,-,5,2.0000,3557,11838,117,NULL
252,1920,89,Construction of Butterworth Tourism Information Centre- MNQ/SCM/43/20-21,-,-,5,1.0000,3861,11844,41198,NULL
255,1922,90,Rehabilitation of Msobomvu Msobomvu Main Road,-,-,5,1.0000,3868,11594,41285,NULL
267,1927,95,Paving of Vuli - Valley Main Road,-,-,5,1.0000,3886,11823,41285,NULL
269,1949,97,Refurbishment of Butterworth Town Hall,-,-,5,1.0000,3938,11848,41198,NULL
308,1942,98,Supply and Installation 90 Hawkers Stalls 20/21 Financial Year,-,-,5,1.0000,3926,11595,41198,NULL
350,1976,103,Construction of Thongwana Sports facility (Phase 1),-,-,5,1.0000,3982,11375,41198,NULL
351,1977,104,Construction of Fihlani Access Road,-,-,5,1.0000,3983,11591,41285,NULL
355,1992,106,Construction of Zizamele Internal Streets (Gravel),-,-,5,1.0000,4039,11370,41285,NULL
362,1988,107,Construction OF MASIZAKHE TO NZANZANA  ACCESS ROAD,,,5,1.0000,4012,11872,41285,NULL
380,3059,118,"Tar surface repairs and asphalt overlay Blyth, Standford, Robison and daly street",-,-,5,1.0000,5331,11829,41285,NULL
485,3157,128,Construction of Rhaladiya-Jingqi Access Road,,,5,1.0000,5648,11590,41285,NULL
486,3160,130,Construction of Gcina (Esingeni) Access Road,-,-,5,1.0000,5651,11217,41285,NULL
487,3072,129,Tar Surface repairs and asphalt overlay at Blyth and King Link Roads,-,-,5,1.0000,5361,11828,41285,NULL
558,3162,134,Request for Supply and Delivery of Docking Station,-,-,5,1.0000,5656,11833,87,NULL
559,3162,134,Request for Supply and Delivery of Docking Station,-,-,5,1.0000,5657,11833,87,NULL
560,3162,134,Request for Supply and Delivery of Docking Station,-,-,5,1.0000,5658,11833,87,NULL
561,3162,134,Request for Supply and Delivery of Docking Station,-,-,5,1.0000,5659,11833,87,NULL
603,3328,140,Construction of Ntseshe Community Hall,,,5,1.0000,6137,14840,41198,NULL
612,4191,141,Upgrading of Ngqamakwe Internal Streets - Phase 1,,,5,1.0000,8375,15417,41285,NULL
625,4236,144,each,Construction of Fihlani Access Road,-,5,1.0000,8569,16612,41285,NULL
630,3269,145,Paving of Vuli Valley Internal Streets (Phase1),,,5,1.0000,5909,15489,41285,NULL
631,4285,146,"Refurbishment of Robinson street, Stanford Cres, Fitzpatrick Road and McCleanagham Road",-,-,5,1.0000,8678,15495,41285,NULL
634,4284,148,Construction of Mbongendlu Access Road,-,-,5,1.0000,8677,15142,41285,NULL
635,4283,149,"Construction of Mkrwaqa, Zagwa, Thongwana and Vulihlanga Access Road",-,-,5,1.0000,8676,14909,41285,NULL
637,4281,151,Construction of Zixhotyeni via Lalini-Hom to Mthonjeni Access Road,-,-,5,1.0000,8674,14892,41285,NULL
640,4280,153,Construction of Phola Park Access Road,-,-,5,1.0000,8673,15144,41285,NULL
645,4332,158,Rehabilitation of Ext 6 Ring Road (Surfaced),-,-,5,1.0000,8790,15452,41285,NULL
647,4336,159,Construction of Cebe Community Hall,,,5,1.0000,8845,14927,41198,NULL
683,4353,164,Construction of Rhwantsana Outdoor Sports Facility,-,-,5,1.0000,8869,15034,41198,NULL
685,3333,163,Refurbishment of N2-Mchubakazi streetlights,,,5,1.0000,6142,15486,50725,NULL
688,4038,166,Refurbishment of Ibika Street Lights,-,-,5,1.0000,7856,15484,50725,NULL
689,4277,167,Construction of Construction Ntshamanzi Access Road,-,-,5,1.0000,8670,14861,41285,NULL
690,4276,168,Construction of Ntshatshongo to  Mthonjeni Access,-,-,5,1.0000,8669,15223,41285,NULL
691,4261,169,"Provision of professional Electrical Services for Planning, Design & Project Management  of 2022/2023 FY   ",-,-,5,1.0000,8623,14970,51065,NULL
692,4363,170,Construction of Qombolo access road,-,-,5,1.0000,8961,14902,41285,NULL
693,4395,171,Construction of Cuba Community Hall,-,-,5,1.0000,9095,16610,41198,NULL
762,4568,176,Construction of Thanga Sportfield,,,5,1.0000,9582,16626,41198,NULL
769,4670,182,"Construction of Ngqamakhwe Satellite Offices ",-,-,5,1.0000,10095,15384,41198,NULL
775,3332,187,Refurbishment of Centane Streetlights,-,-,5,69.0000,6141,15483,50725,NULL
777,4260,189,Electrification of Rural Households in Mnquma ( 2022/2023 FY),-,-,5,1.0000,8622,14970,51065,NULL
778,4256,190,Desk,-,-,5,1.0000,8592,15290,117,NULL
779,4256,190,"Wall Unit ",-,-,5,1.0000,8593,15290,117,NULL
780,4259,190,Chair,-,-,5,23.0000,8617,15541,117,NULL
781,4259,190,Office Desk,-,-,5,5.0000,8618,15541,117,NULL
782,4259,190,Pedestal,-,-,5,5.0000,8619,15541,117,NULL
783,4259,190,Cabinet,-,-,5,2.0000,8620,15541,117,NULL
784,4259,190,Office Chair,-,-,5,5.0000,8621,15541,117,NULL
785,4334,190,"Symphony Elite executive L-Shape Desk ",-,-,5,1.0000,8795,15513,117,NULL
786,4334,190,Filing Cabinet/ Universal Storage,-,-,5,1.0000,8796,15513,117,NULL
787,4334,190,"Coat & Hat Stands ",-,-,5,1.0000,8797,15513,117,NULL
788,4334,190,Highback Chair,-,-,5,1.0000,8798,15513,117,NULL
789,4334,190,Visitors Chairs,-,-,5,4.0000,8799,15513,117,NULL
790,4334,190,"Table ",-,-,5,1.0000,8800,15513,117,NULL
791,4334,190,Chairs,-,-,5,15.0000,8801,15513,117,NULL
792,4354,190,Expenditure - Office Chairs x 08,-,-,5,8.0000,8870,15314,117,NULL
793,4354,190,Asset - Office Chairs x 07,-,-,5,7.0000,8871,15314,117,NULL
794,4354,190,Asset - Visitors Chairs x 03,-,-,5,3.0000,8872,15314,117,NULL
795,4354,190,Budget - Office Chairs x 03,-,-,5,3.0000,8873,15314,117,NULL
796,4354,190,Revenue - Desk x 04,-,-,5,4.0000,8874,15314,117,NULL
797,4354,190,Revenue- Desk x 01,-,-,5,1.0000,8875,15314,117,NULL
798,4354,190,Revenue - Credenza x 01,-,-,5,1.0000,8876,15314,117,NULL
799,4354,190,Revenue - Executive Chairs x 06,-,-,5,6.0000,8877,15314,117,NULL
