Field On Asset_Register_Items,Linked Table or Value
AssetRegisterItem_ID,Value
MunicipalAssetID,Value
ParentAssetRegisterItem_ID,Value
MainAssetDescription,Value
MainAssetID,Value
Description,Value
OldBarCode,Value
Barcode,Value
ImageRef,Value
AssetType_ID,Const_AssetType_sys
AssetCategory_ID,Const_AssetCategory_sys
Asset_SubCategory_ID,Const_Asset_Subcategory
AssetClass_ID,Const_AssetClass_sys
MeasurementType_ID,AssetConfig_MeasurementType
AssetStatus_ID,Const_AssetStatus_Sys
InfrastructurOrNonInfrastructure,Value
VerificationDate,Value
VerificationDoneBy,Payroll_Employee
UoM,Const_UnitOfIssue
Dim1,Value
Dim2,Value
Dim3,Value
Quantity,Value
Diameter,Value
Capacity,Value
ErfNumber,Value
ErfSizeM2,Value
PortionNumber,Value
UnitNumber,Value
RegistrationNumber,Value
SerialNumber,Value
Custodian_ID,Payroll_Employee
CustodianIdNumber,Value
BasicMunicipalityService,Const_Asset_CIDMS_Municipal_Services
AssetOwnership_ID,Payroll_Employee
MunicipalDepartment_ID,Const_Department
DivisionID,Const_Division
Town_ID,Const_Town
Street_ID,Const_Street
Building_ID,Const_Building
Ward_ID,Const_Ward
Zoning_ID,Value
Floor_Area,Value
FloorID,Const_Floor
SuburbID,Const_Suburb
latitude,Value
longitude,Value
Make,Value
Model,Value
